customer_id,recency_days,purchase_frequency,monetary_value
S0095,4.6,11.8,39311.87
S0096,9.1,33.2,39738.07
S0097,50.2,4.7,5977.13
S0098,10.8,13.7,35231.12
S0099,4.4,7.0,49517.29
S0100,44.2,8.1,14979.9
S0101,10.5,24.9,46273.67
S0102,40.1,7.6,15775.51
S0103,15.8,28.8,43318.08
S0104,58.9,7.1,16029.35
S0105,49.4,4.7,17202.68
S0106,43.9,13.2,500.0
S0107,51.2,9.1,18342.96
S0108,45.7,18.2,18106.84
S0109,6.7,20.3,25400.48
S0110,1.9,30.4,44037.9
S0111,40.6,14.3,16873.75
S0112,11.4,19.8,37149.8
S0113,10.5,21.7,42871.61
S0114,51.0,13.0,22604.05
S0115,17.8,24.2,46845.09
S0116,13.0,20.8,60657.7
S0117,35.9,5.5,16886.47
S0118,13.1,37.9,58277.73
S0119,87.1,3.8,8615.79
S0120,124.3,2.6,8656.29
S0121,126.0,1.5,500.0
S0122,35.3,3.2,24287.11
S0123,9.2,25.2,49835.12
S0124,57.6,8.1,19351.97
S0125,39.3,7.3,19300.1
S0126,43.1,10.5,21968.95
S0127,7.1,22.6,33562.84
S0128,9.2,20.5,52705.02
S0129,1.0,23.3,40216.63
S0130,16.9,28.2,56590.96
S0131,9.1,24.3,41072.62
S0132,80.0,4.4,8932.95
S0133,15.8,20.5,46795.62
S0134,36.9,3.6,16012.92
S0135,103.8,2.9,4599.8
S0136,5.0,28.0,28366.03
S0137,38.1,2.2,15261.65
S0138,45.4,16.9,16386.89
S0139,10.8,26.5,52895.16
S0140,33.7,3.4,26818.52
S0141,113.7,2.3,1905.69
S0142,40.8,7.1,10585.96
S0143,94.1,4.0,6458.37
S0144,106.1,1.0,8173.31
S0145,12.2,21.3,54364.29
S0146,41.3,11.4,8626.18
S0147,44.1,12.4,21813.22
S0148,36.2,13.1,22106.99
S0149,51.5,9.6,15791.18
S0150,44.3,12.1,19761.96
S0151,118.9,3.8,1433.72
S0152,5.1,23.2,56928.53
S0153,37.1,9.4,21628.5
S0154,11.6,22.5,50311.74
S0155,32.4,12.4,16557.01
S0156,115.1,1.0,500.0
S0157,102.7,4.3,3751.14
S0158,54.2,15.1,18217.22
S0159,41.6,4.3,22504.2
S0160,11.3,31.2,47144.54
S0161,8.9,33.9,37981.29
S0162,10.1,20.8,43270.28
S0163,122.0,5.2,7654.56
S0164,14.3,18.1,53506.14
S0165,81.6,3.3,6425.43
S0166,5.8,31.7,33907.41
S0167,63.4,12.7,9880.39
S0168,42.1,9.2,19327.38
S0169,56.0,1.2,18917.22
S0170,35.6,3.8,22175.13
S0171,49.2,18.2,26380.02
S0172,45.7,1.4,5780.17
S0173,33.8,15.7,31682.5
S0174,12.8,34.7,52674.49
S0175,3.6,23.7,58957.72
S0176,49.3,12.5,14627.57
S0177,54.1,6.7,15763.52
S0178,40.0,16.4,21552.76
S0179,35.3,10.3,12316.5
S0180,7.6,24.2,39904.76
S0181,77.3,4.2,2516.29
S0182,44.0,12.6,15311.28
S0183,46.0,16.3,22868.49
S0184,41.9,9.5,21847.93
S0185,95.1,1.0,897.9
S0186,37.8,7.6,16013.85
S0187,90.8,4.7,8373.55
S0188,10.4,28.4,48858.18
S0189,45.7,5.7,9669.69
S0190,56.8,10.9,10717.19
S0191,56.3,10.0,18055.27
S0192,13.1,27.6,42478.17
S0193,50.6,11.4,14387.15
S0194,16.0,23.6,51059.33
S0195,66.9,4.2,500.0
S0196,10.8,28.7,33317.36
S0197,9.0,17.2,45157.64
S0198,49.7,8.5,14799.5
S0199,9.3,20.9,49051.75
S0200,16.7,26.1,39878.4
S0201,30.4,20.6,25064.77
S0202,49.6,4.4,18545.56
S0203,8.2,26.9,47051.45
S0204,39.1,8.0,25416.86
S0205,66.6,18.2,14488.72
S0206,96.9,3.5,7594.97
S0207,14.4,21.8,32126.09
S0208,4.8,13.4,45297.25
S0209,52.5,1.0,4479.57
S0210,40.5,14.9,31737.0
S0211,1.4,21.5,46942.52
S0212,108.6,5.9,1120.03
S0213,8.3,33.5,45847.83
S0214,126.8,2.2,7510.54
S0215,41.0,10.4,25865.63
S0216,107.6,1.0,4262.26
S0217,110.7,5.6,5898.72
S0218,14.0,24.6,26829.13
S0219,94.3,1.7,5806.69
S0220,17.0,21.8,65540.0
S0221,43.1,10.6,19686.06
S0222,48.9,5.1,17121.9
S0223,13.6,24.4,40869.69
S0224,2.8,18.3,42556.67
S0225,20.4,40.0,54846.41
S0226,7.7,18.5,65086.94
S0227,16.0,24.6,59879.48
S0228,96.5,3.5,3507.5
S0229,46.6,16.0,20593.1
S0230,92.9,3.5,5485.34
S0231,92.8,2.9,500.0
S0232,43.8,8.0,10190.42
S0233,16.3,18.3,33732.02
S0234,128.7,3.5,8209.4
S0235,48.2,13.8,26448.18
S0236,26.9,13.7,20206.22
S0237,113.6,2.3,2508.07
S0238,42.2,10.5,4858.59
S0239,36.4,12.1,7056.77
S0240,112.3,3.9,500.0
