campaign_id,advertising_spend,discount_percent,footfall,store_count,category,season,sales
CAM0086,60330.82,11.3,1683,9,Grocery,Festival,128695.5
CAM0087,33321.62,18.7,1126,3,Fashion,Monsoon,55880.0
CAM0088,11594.57,6.8,151,11,Fashion,Festival,95110.47
CAM0089,73723.9,17.4,1435,2,Fashion,Winter,118027.45
CAM0090,76130.06,2.4,362,17,Grocery,Festival,148656.88
CAM0091,68286.97,13.0,1586,15,Fashion,Summer,114966.99
CAM0092,24359.19,5.5,1615,5,Electronics,Summer,103410.0
CAM0093,91755.53,26.5,1666,6,Fashion,Festival,124732.73
CAM0094,76550.01,13.3,983,1,Electronics,Summer,102531.62
CAM0095,67486.85,17.7,608,7,Home,Festival,88065.61
CAM0096,66839.67,10.8,1774,1,Grocery,Summer,99408.45
CAM0097,90913.98,8.7,1161,18,Fashion,Summer,146131.67
CAM0098,93189.18,6.1,1307,3,Fashion,Summer,137647.36
CAM0099,61585.55,27.4,359,13,Electronics,Summer,100129.19
CAM0100,44583.59,24.0,1284,11,Fashion,Festival,121753.15
CAM0101,39554.73,4.0,1202,5,Home,Winter,82943.93
CAM0102,82812.49,22.4,655,16,Electronics,Monsoon,112075.13
CAM0103,66237.51,12.6,1557,3,Electronics,Festival,133665.7
CAM0104,12340.27,0.5,353,17,Home,Summer,120591.68
CAM0105,18507.67,15.9,1466,15,Grocery,Monsoon,82862.51
CAM0106,90517.66,3.9,1926,13,Electronics,Summer,164964.35
CAM0107,89027.32,6.3,1177,17,Fashion,Winter,125828.52
CAM0108,95424.08,20.9,299,8,Grocery,Monsoon,81475.48
CAM0109,45645.84,7.7,1151,6,Fashion,Festival,118002.33
CAM0110,79485.79,26.8,1105,3,Fashion,Monsoon,76434.53
CAM0111,83681.38,19.7,1149,18,Grocery,Summer,122109.76
CAM0112,34991.21,25.0,617,8,Grocery,Winter,48744.76
CAM0113,18807.08,18.5,1289,16,Home,Festival,110670.67
CAM0114,99717.5,26.1,601,7,Electronics,Festival,140806.68
CAM0115,7870.82,10.9,1159,19,Fashion,Festival,122732.84
CAM0116,61746.91,16.5,1229,17,Electronics,Summer,126678.01
CAM0117,66770.17,15.5,1327,6,Grocery,Monsoon,86202.21
CAM0118,69769.99,27.1,1616,10,Grocery,Summer,81832.26
CAM0119,29284.64,4.9,1776,16,Fashion,Winter,114687.63
CAM0120,73550.03,17.3,1576,5,Grocery,Winter,111513.09
CAM0121,25557.96,22.6,1612,1,Fashion,Summer,70200.55
CAM0122,83758.63,11.1,1750,6,Electronics,Monsoon,152377.39
CAM0123,25816.08,26.0,560,12,Grocery,Winter,65378.58
CAM0124,71187.07,11.2,656,3,Fashion,Monsoon,83694.83
CAM0125,79424.28,5.2,1112,7,Fashion,Summer,123884.93
CAM0126,22949.85,17.5,984,18,Fashion,Festival,84529.89
CAM0127,27608.72,12.6,1434,2,Home,Summer,87526.93
CAM0128,79014.86,0.5,117,1,Electronics,Winter,96754.4
CAM0129,13169.9,2.1,364,9,Fashion,Summer,100525.82
CAM0130,23122.29,5.9,1519,1,Grocery,Festival,97819.51
CAM0131,48275.44,23.1,1661,1,Electronics,Summer,81279.38
CAM0132,93367.28,26.8,674,4,Electronics,Monsoon,110131.92
CAM0133,58378.39,16.4,690,2,Grocery,Festival,76031.15
CAM0134,41829.4,3.2,1166,16,Grocery,Summer,106822.91
CAM0135,97945.17,16.0,1006,3,Grocery,Monsoon,91710.21
CAM0136,49052.57,25.7,421,10,Electronics,Winter,87616.85
CAM0137,46204.82,22.5,1050,14,Home,Summer,125517.61
CAM0138,44106.21,8.7,1656,12,Fashion,Summer,124590.07
CAM0139,34657.11,3.7,1486,13,Electronics,Monsoon,130941.89
CAM0140,35941.01,27.0,1652,7,Fashion,Festival,108838.99
CAM0141,70344.52,25.6,1323,17,Electronics,Summer,148933.16
CAM0142,8879.38,1.6,1767,2,Fashion,Summer,98498.6
CAM0143,69772.59,24.7,574,3,Fashion,Festival,101940.05
CAM0144,24114.43,2.9,187,17,Fashion,Summer,110688.25
CAM0145,41499.76,1.9,316,2,Fashion,Monsoon,73419.72
CAM0146,18921.2,22.8,1985,4,Home,Monsoon,97026.97
CAM0147,57511.35,16.1,1316,4,Home,Winter,93262.01
CAM0148,74288.29,12.4,570,1,Fashion,Festival,93200.04
CAM0149,38692.28,27.1,1722,3,Home,Summer,105015.68
CAM0150,20524.57,25.2,687,11,Home,Monsoon,94269.41
CAM0151,26518.03,1.7,1234,13,Home,Summer,118221.46
CAM0152,82720.73,18.5,573,2,Electronics,Festival,100964.09
CAM0153,30426.63,23.2,280,18,Fashion,Monsoon,104497.27
CAM0154,78596.75,16.5,608,2,Fashion,Winter,90709.66
CAM0155,36463.94,29.5,533,14,Electronics,Winter,97145.83
CAM0156,22929.59,20.6,1150,16,Electronics,Festival,120927.96
CAM0157,74094.31,3.1,139,10,Grocery,Monsoon,96811.97
CAM0158,49511.78,5.9,555,10,Fashion,Summer,100214.45
CAM0159,7971.34,24.8,1178,3,Home,Winter,52759.9
CAM0160,96194.53,29.9,848,5,Grocery,Winter,81804.21
CAM0161,19036.58,3.0,1308,17,Electronics,Festival,147524.45
CAM0162,38573.66,3.0,1345,7,Home,Festival,114706.2
CAM0163,41555.49,22.9,1934,1,Fashion,Summer,95001.21
CAM0164,51495.84,1.9,1688,14,Grocery,Winter,139768.24
CAM0165,79617.18,2.1,533,13,Home,Summer,139281.99
CAM0166,5578.58,26.7,1416,2,Grocery,Winter,44486.02
CAM0167,93584.84,24.0,1291,1,Electronics,Monsoon,110513.49
CAM0168,66369.0,26.4,1229,3,Electronics,Monsoon,92672.52
CAM0169,95311.64,19.5,1618,1,Fashion,Festival,99275.94
CAM0170,82652.01,9.7,380,12,Electronics,Summer,133896.6
CAM0171,93144.63,27.2,812,3,Electronics,Winter,98510.32
CAM0172,62095.05,9.0,1650,12,Home,Winter,159802.5
CAM0173,38944.35,8.3,1795,4,Electronics,Summer,131683.88
CAM0174,47076.84,26.6,170,19,Electronics,Monsoon,112926.07
CAM0175,67513.07,20.4,995,14,Grocery,Winter,104895.54
CAM0176,45558.53,26.9,601,8,Electronics,Festival,100707.25
CAM0177,74508.91,4.7,419,9,Fashion,Summer,95061.47
CAM0178,13725.56,28.6,208,2,Home,Festival,31900.89
CAM0179,83848.73,18.4,1122,2,Grocery,Summer,75381.76
CAM0180,24397.92,20.0,1368,11,Home,Winter,94798.52
CAM0181,94675.02,27.4,1109,1,Fashion,Winter,59299.04
CAM0182,19776.85,11.4,799,13,Grocery,Monsoon,75396.42
CAM0183,17270.6,21.6,1565,8,Electronics,Monsoon,91012.3
CAM0184,82128.23,19.2,1338,3,Fashion,Festival,106212.74
CAM0185,82776.67,23.6,1826,11,Electronics,Festival,138953.52
CAM0186,75182.14,26.9,759,11,Home,Winter,95430.33
CAM0187,96250.39,20.4,554,15,Electronics,Summer,153223.89
CAM0188,30701.26,2.0,965,4,Electronics,Winter,106410.27
CAM0189,83531.63,5.5,1063,11,Fashion,Winter,117043.68
CAM0190,38443.85,28.6,970,17,Fashion,Winter,96546.24
CAM0191,56052.87,29.1,1681,6,Fashion,Winter,89270.45
CAM0192,47332.0,29.0,186,16,Fashion,Monsoon,72911.97
CAM0193,5555.75,1.1,1102,14,Fashion,Winter,93949.85
CAM0194,59573.91,11.5,917,9,Home,Winter,116803.33
CAM0195,76013.06,22.8,500,17,Grocery,Winter,96868.07
CAM0196,21582.48,22.6,1318,19,Home,Monsoon,95812.28
CAM0197,93507.31,2.6,1622,5,Home,Monsoon,127111.39
CAM0198,55387.96,18.3,1137,19,Grocery,Festival,128175.06
CAM0199,21933.37,4.3,261,1,Home,Winter,39867.56
CAM0200,66365.02,14.8,243,3,Electronics,Winter,85938.35
CAM0201,23232.66,7.2,901,1,Home,Summer,86411.48
CAM0202,11035.67,1.6,1369,7,Fashion,Monsoon,95751.73
CAM0203,70104.95,2.4,695,18,Grocery,Winter,150551.62
CAM0204,15516.01,27.3,686,12,Electronics,Winter,99308.04
CAM0205,15090.66,22.3,1734,12,Electronics,Summer,127867.29
CAM0206,75294.64,28.0,127,2,Home,Winter,98310.78
CAM0207,10244.21,14.1,251,10,Fashion,Summer,80228.44
CAM0208,81928.07,12.4,395,8,Electronics,Festival,125316.63
CAM0209,80634.13,10.8,1968,10,Grocery,Monsoon,133255.22
CAM0210,18432.38,18.5,1045,5,Electronics,Summer,78690.76
CAM0211,54246.16,10.5,400,4,Fashion,Summer,81825.62
CAM0212,14179.42,22.4,689,19,Grocery,Festival,89924.62
CAM0213,65094.27,24.0,1941,11,Grocery,Monsoon,109953.41
CAM0214,10978.35,26.3,1419,8,Fashion,Monsoon,63660.0
CAM0215,94725.68,7.3,525,2,Fashion,Festival,99421.64
CAM0216,24734.42,15.8,557,15,Home,Winter,99656.14
CAM0217,69874.99,6.7,242,9,Electronics,Winter,108520.96
CAM0218,17187.69,1.1,1568,8,Electronics,Summer,94322.58
CAM0219,24911.66,21.2,361,13,Electronics,Summer,75914.21
CAM0220,47840.22,16.5,644,3,Home,Winter,61567.69
CAM0221,59444.13,21.7,761,11,Fashion,Winter,83038.87
CAM0222,99892.01,2.6,1279,17,Electronics,Festival,183109.72
CAM0223,7462.99,29.9,1252,9,Electronics,Monsoon,81887.72
CAM0224,5029.87,29.8,1618,1,Electronics,Monsoon,77699.9
CAM0225,38284.87,13.9,664,5,Home,Winter,88055.27
CAM0226,39784.85,26.0,832,2,Fashion,Summer,76148.47
CAM0227,88964.54,7.3,838,10,Electronics,Monsoon,136179.86
CAM0228,91695.34,22.1,188,7,Electronics,Monsoon,100022.19
CAM0229,88649.87,26.4,1501,3,Grocery,Monsoon,98183.17
CAM0230,18601.98,24.4,1117,14,Grocery,Monsoon,88991.79
CAM0231,44149.96,24.4,1003,4,Home,Summer,83150.13
CAM0232,75859.09,13.9,1991,7,Electronics,Festival,160941.68
CAM0233,34698.05,24.6,439,19,Electronics,Summer,82685.72
CAM0234,68007.61,20.7,1941,2,Electronics,Winter,106385.64
CAM0235,27528.57,4.0,1392,5,Fashion,Festival,101848.51
CAM0236,35724.83,3.4,519,7,Grocery,Winter,91618.62
CAM0237,86740.82,23.2,1389,10,Grocery,Summer,126409.88
CAM0238,28798.36,18.8,1535,5,Electronics,Winter,77903.16
CAM0239,96610.79,15.6,788,19,Grocery,Winter,144154.54
CAM0240,34094.66,27.2,755,1,Grocery,Summer,33872.41
CAM0241,7235.17,19.8,1686,19,Electronics,Winter,109372.19
CAM0242,29215.59,11.9,404,11,Grocery,Summer,75521.12
CAM0243,21264.47,12.4,125,1,Fashion,Festival,58702.6
CAM0244,53148.56,18.2,1365,3,Electronics,Winter,79311.39
CAM0245,15708.03,22.8,1822,2,Fashion,Festival,91671.91
CAM0246,64474.64,16.9,1051,6,Home,Summer,107940.18
CAM0247,88115.41,15.3,356,7,Grocery,Monsoon,96794.97
CAM0248,39439.29,21.8,1124,13,Fashion,Summer,94475.04
CAM0249,21006.81,21.2,578,6,Home,Summer,68671.87
CAM0250,43002.37,24.9,1672,14,Fashion,Winter,107381.87
CAM0251,79666.85,1.9,1263,6,Fashion,Monsoon,134740.02
CAM0252,61191.33,22.6,739,6,Electronics,Festival,72651.42
CAM0253,14608.61,15.4,1286,6,Home,Monsoon,67940.28
CAM0254,56032.78,2.2,1367,7,Home,Monsoon,112726.26
CAM0255,49468.11,20.4,1389,16,Electronics,Monsoon,112391.76
CAM0256,36075.66,21.5,795,5,Grocery,Summer,61511.93
CAM0257,15465.26,15.7,1184,6,Home,Winter,78164.5
CAM0258,98205.63,23.8,181,19,Grocery,Monsoon,99692.13
CAM0259,21724.12,9.0,866,13,Electronics,Festival,122885.76
CAM0260,23310.57,6.1,818,4,Home,Summer,90562.23
CAM0261,18830.36,10.5,1115,17,Fashion,Festival,118193.55
CAM0262,59168.34,12.3,1905,4,Fashion,Festival,112632.37
CAM0263,47148.61,20.9,1911,4,Fashion,Winter,90401.24
CAM0264,28707.93,25.4,1018,9,Home,Monsoon,78932.09
CAM0265,45795.22,21.6,1327,14,Grocery,Monsoon,74796.16
CAM0266,68984.58,5.2,305,4,Grocery,Summer,87322.17
CAM0267,31761.55,11.0,1016,15,Home,Monsoon,102815.84
CAM0268,91948.35,4.8,1406,3,Home,Festival,146244.73
CAM0269,34102.89,20.6,1397,15,Home,Monsoon,114521.86
CAM0270,23827.01,7.4,1930,2,Home,Festival,121128.14
CAM0271,95683.95,15.8,985,9,Home,Festival,118065.21
CAM0272,82003.26,23.8,1825,13,Home,Festival,137914.73
CAM0273,37598.07,20.1,1959,6,Grocery,Festival,85053.69
CAM0274,84936.03,9.0,1186,12,Electronics,Winter,130458.84
CAM0275,54287.35,10.0,273,14,Electronics,Winter,128739.95
CAM0276,37941.49,19.6,814,13,Home,Winter,114297.31
CAM0277,84763.1,16.5,1552,8,Fashion,Winter,101908.9
CAM0278,76455.68,2.9,1203,15,Home,Monsoon,132156.05
CAM0279,33298.11,26.2,1879,14,Home,Monsoon,107312.86
CAM0280,62634.46,15.4,1650,7,Grocery,Summer,108673.74
CAM0281,40092.07,14.2,220,14,Home,Winter,72900.95
CAM0282,5099.94,6.0,1736,18,Fashion,Monsoon,98753.97
CAM0283,96372.5,11.3,779,16,Fashion,Summer,140203.96
CAM0284,57214.76,10.0,1655,14,Home,Festival,120431.74
CAM0285,61851.1,8.1,1064,15,Home,Winter,120977.89
CAM0286,61989.69,17.0,965,16,Electronics,Summer,133050.77
CAM0287,57310.94,13.9,237,6,Home,Winter,86814.59
CAM0288,32554.55,26.7,325,14,Fashion,Summer,78792.29
CAM0289,97299.73,28.2,1231,4,Home,Festival,107254.81
CAM0290,64058.5,6.6,1181,7,Grocery,Summer,111857.42
CAM0291,68737.53,3.0,1154,18,Grocery,Summer,137364.23
CAM0292,48205.31,23.6,397,6,Electronics,Summer,76388.03
CAM0293,32346.83,29.8,1068,17,Fashion,Summer,98942.34
CAM0294,11113.15,25.9,215,9,Grocery,Monsoon,49325.55
CAM0295,38271.87,0.7,373,4,Home,Festival,116777.03
CAM0296,21729.26,7.5,1047,2,Electronics,Monsoon,93658.17
CAM0297,67898.39,1.3,1272,11,Electronics,Monsoon,150318.01
CAM0298,88505.37,24.6,1345,9,Grocery,Summer,96414.97
CAM0299,33761.71,17.4,1965,10,Fashion,Winter,99599.72
CAM0300,36623.85,15.4,1722,1,Home,Monsoon,81193.46
