customer_id,age,tenure_months,monthly_spend,orders_last_6m,support_calls,satisfaction_score,city,plan,churn
C0046,63,16,1689.03,6,6,1.8,Mumbai,Standard,Yes
C0047,40,60,2526.23,12,0,3.0,Mumbai,Basic,No
C0048,60,57,1526.75,12,2,4.7,Bengaluru,Basic,No
C0049,50,11,1963.09,12,0,3.7,Mumbai,Basic,Yes
C0050,55,10,2749.61,6,2,2.6,Mumbai,Standard,Yes
C0051,54,32,3424.25,8,0,2.8,Delhi,Basic,No
C0052,28,3,2987.01,13,2,2.9,Chennai,Basic,No
C0053,36,18,666.97,10,4,3.7,Chennai,Standard,No
C0054,41,27,2743.49,15,1,4.6,Chennai,Basic,No
C0055,42,59,2557.63,9,0,4.3,Hyderabad,Standard,No
C0056,21,60,2831.11,9,4,3.8,Hyderabad,Premium,No
C0057,44,10,3792.97,8,3,2.2,Hyderabad,Standard,Yes
C0058,26,54,849.41,9,3,2.2,Mumbai,Basic,No
C0059,53,6,2027.12,12,1,3.9,Chennai,Basic,No
C0060,50,45,2972.73,14,3,2.2,Delhi,Standard,No
C0061,61,51,1234.72,4,2,3.2,Mumbai,Standard,No
C0062,53,54,3680.76,2,5,3.7,Hyderabad,Basic,No
C0063,36,14,2794.69,7,5,2.4,Hyderabad,Standard,No
C0064,63,54,3177.27,11,1,2.5,Bengaluru,Standard,Yes
C0065,38,7,2043.25,6,1,3.3,Delhi,Basic,Yes
C0066,34,32,3151.01,9,2,3.9,Hyderabad,Standard,No
C0067,60,29,3354.78,13,5,4.4,Hyderabad,Basic,No
C0068,36,19,2686.3,9,1,3.9,Hyderabad,Basic,No
C0069,23,2,2687.52,7,3,3.5,Chennai,Premium,No
C0070,41,47,2716.27,9,4,2.7,Delhi,Basic,No
C0071,55,21,1809.32,7,5,2.4,Mumbai,Standard,Yes
C0072,28,40,2381.98,7,4,2.9,Chennai,Standard,No
C0073,40,25,2377.98,8,2,3.8,Hyderabad,Basic,No
C0074,25,23,2806.72,9,0,3.7,Bengaluru,Premium,Yes
C0075,50,54,3299.86,13,1,1.5,Chennai,Basic,No
C0076,41,6,1653.17,7,1,2.7,Bengaluru,Basic,No
C0077,34,45,2399.99,13,0,4.5,Mumbai,Premium,No
C0078,30,45,3685.16,7,1,3.5,Delhi,Standard,No
C0079,45,23,1905.13,13,2,2.1,Bengaluru,Standard,Yes
C0080,50,16,1842.2,5,1,5.0,Bengaluru,Basic,No
C0081,62,1,2661.84,6,3,3.4,Hyderabad,Basic,Yes
C0082,39,57,3175.51,12,1,3.7,Mumbai,Standard,No
C0083,27,57,2509.14,12,3,3.8,Chennai,Basic,No
C0084,57,15,3563.17,7,4,3.1,Bengaluru,Basic,No
C0085,48,2,3185.44,8,2,2.7,Bengaluru,Standard,No
C0086,51,8,3173.46,7,4,5.0,Hyderabad,Basic,No
C0087,24,5,2943.29,11,3,4.3,Chennai,Basic,No
C0088,34,50,4362.12,8,3,4.1,Mumbai,Basic,Yes
C0089,54,54,2335.87,9,1,3.9,Bengaluru,Standard,No
C0090,57,10,897.18,7,2,2.5,Hyderabad,Standard,No
C0091,39,45,3783.4,16,2,4.5,Chennai,Premium,No
C0092,56,11,2133.84,6,1,2.6,Mumbai,Basic,Yes
C0093,57,23,2586.3,7,5,3.7,Bengaluru,Basic,No
C0094,37,36,3547.64,8,3,1.9,Bengaluru,Standard,No
C0095,60,44,1218.19,9,3,1.6,Hyderabad,Standard,No
C0096,32,53,1498.68,11,0,3.7,Mumbai,Standard,No
C0097,30,3,1218.98,9,5,2.7,Delhi,Premium,No
C0098,50,12,1864.69,10,0,1.6,Mumbai,Standard,No
C0099,48,17,2851.71,9,1,3.9,Chennai,Standard,No
C0100,26,19,2919.35,17,1,5.0,Mumbai,Premium,No
C0101,57,60,2721.02,9,1,4.7,Bengaluru,Basic,No
C0102,28,47,1369.79,10,1,3.2,Hyderabad,Premium,No
C0103,56,20,651.92,7,2,3.4,Bengaluru,Standard,No
C0104,20,59,2543.48,10,4,4.2,Mumbai,Standard,No
C0105,55,30,2122.58,8,3,4.4,Mumbai,Premium,No
C0106,55,31,2867.51,15,4,3.1,Delhi,Standard,No
C0107,55,27,3061.56,8,2,3.4,Delhi,Standard,Yes
C0108,49,9,2610.59,14,0,3.7,Bengaluru,Basic,No
C0109,41,57,3108.11,8,4,3.9,Hyderabad,Standard,No
C0110,51,1,2683.37,9,3,3.3,Bengaluru,Standard,No
C0111,32,11,2924.05,11,1,3.3,Delhi,Basic,No
C0112,55,14,1936.26,7,2,4.6,Delhi,Standard,No
C0113,45,17,2356.31,10,2,4.5,Hyderabad,Standard,No
C0114,40,8,2657.42,10,2,3.8,Hyderabad,Standard,No
C0115,42,2,3156.42,9,1,4.9,Chennai,Basic,No
C0116,45,41,2185.01,7,1,3.1,Mumbai,Standard,No
C0117,21,59,2916.93,9,0,4.9,Delhi,Basic,Yes
C0118,26,8,2287.33,15,1,3.9,Mumbai,Basic,No
C0119,31,18,2405.97,9,1,5.0,Bengaluru,Standard,No
C0120,25,31,3163.62,14,3,2.3,Hyderabad,Basic,No
C0121,39,56,905.55,14,1,2.8,Mumbai,Basic,No
C0122,50,42,1462.82,8,1,3.8,Chennai,Standard,No
C0123,49,46,1314.25,10,2,3.8,Delhi,Basic,No
C0124,41,35,633.11,9,2,5.0,Chennai,Premium,No
C0125,58,26,1957.39,13,3,2.8,Chennai,Premium,No
C0126,45,12,3099.55,5,1,4.2,Bengaluru,Standard,No
C0127,23,52,2272.09,12,1,4.4,Hyderabad,Premium,Yes
C0128,54,49,2658.23,7,2,4.0,Delhi,Premium,No
C0129,45,2,3371.37,11,0,2.5,Delhi,Basic,Yes
C0130,48,43,3562.15,11,3,4.7,Hyderabad,Standard,No
C0131,45,6,2444.69,7,0,4.5,Mumbai,Basic,Yes
C0132,44,45,3582.87,13,1,3.9,Bengaluru,Standard,No
C0133,24,50,2573.7,9,3,3.6,Chennai,Standard,No
C0134,45,8,1830.08,2,0,3.6,Delhi,Basic,Yes
C0135,55,27,2024.48,7,0,3.3,Delhi,Basic,No
C0136,33,8,1315.57,13,2,4.0,Hyderabad,Premium,No
C0137,47,35,1789.49,13,2,3.4,Bengaluru,Basic,Yes
C0138,21,56,2213.59,14,1,2.6,Delhi,Basic,No
C0139,35,5,3142.87,8,6,2.5,Delhi,Basic,No
C0140,39,24,3876.62,5,6,2.7,Hyderabad,Standard,No
C0141,64,59,1394.25,4,4,3.6,Delhi,Premium,Yes
C0142,29,19,2814.26,9,3,3.4,Chennai,Standard,Yes
C0143,32,8,1667.56,11,4,3.6,Chennai,Standard,Yes
C0144,38,30,2879.76,7,4,3.9,Hyderabad,Basic,No
C0145,64,31,2395.13,11,1,2.8,Mumbai,Basic,No
C0146,58,40,1035.28,9,2,4.7,Mumbai,Standard,No
C0147,21,19,3242.64,9,3,3.2,Mumbai,Premium,Yes
C0148,30,58,2016.0,11,1,3.0,Mumbai,Standard,No
C0149,56,32,2072.88,11,3,3.8,Delhi,Standard,No
C0150,22,18,1644.2,11,1,1.7,Delhi,Standard,No
C0151,58,58,1976.57,9,2,2.7,Mumbai,Standard,No
C0152,32,56,2842.31,9,2,4.3,Delhi,Standard,No
C0153,61,30,2348.6,6,1,1.8,Mumbai,Standard,No
C0154,33,2,2762.93,7,3,4.4,Mumbai,Standard,No
C0155,39,36,2789.54,6,6,4.8,Chennai,Standard,Yes
C0156,49,34,3556.53,7,1,3.1,Mumbai,Premium,Yes
C0157,25,9,2225.77,11,2,3.7,Hyderabad,Standard,No
C0158,45,39,1318.51,6,3,4.4,Chennai,Basic,Yes
C0159,42,51,3353.78,8,2,3.0,Chennai,Basic,No
C0160,55,7,2234.81,10,2,4.2,Delhi,Standard,Yes
C0161,64,44,3391.67,10,1,2.8,Hyderabad,Standard,No
C0162,49,9,2806.7,8,1,3.0,Mumbai,Standard,No
C0163,38,45,2395.09,9,4,2.7,Hyderabad,Standard,Yes
C0164,38,26,2779.02,10,0,3.7,Delhi,Basic,No
C0165,38,1,4060.81,8,1,4.4,Delhi,Standard,No
C0166,56,58,4161.58,5,1,3.2,Bengaluru,Standard,No
C0167,34,10,2555.5,5,1,2.3,Delhi,Standard,Yes
C0168,27,36,2628.15,5,4,2.4,Chennai,Standard,Yes
C0169,35,11,3360.99,17,1,3.8,Delhi,Basic,No
C0170,21,56,1823.47,10,2,5.0,Mumbai,Standard,No
C0171,24,45,2766.46,6,3,3.8,Hyderabad,Standard,Yes
C0172,24,49,2479.31,11,2,3.1,Bengaluru,Premium,Yes
C0173,54,26,2751.13,12,2,4.1,Chennai,Standard,No
C0174,52,29,1833.3,8,3,3.2,Bengaluru,Basic,No
C0175,51,39,1228.35,8,2,3.1,Hyderabad,Standard,No
C0176,40,48,841.61,8,1,2.5,Delhi,Standard,No
C0177,52,51,1606.09,11,1,4.7,Delhi,Basic,Yes
C0178,27,2,2133.06,8,3,1.1,Chennai,Premium,Yes
C0179,60,40,2265.45,10,5,4.1,Bengaluru,Basic,No
C0180,42,7,4049.78,7,1,3.0,Hyderabad,Basic,No
C0181,62,18,3384.79,13,1,3.0,Delhi,Basic,No
C0182,26,50,1730.33,10,2,4.9,Bengaluru,Basic,No
C0183,42,16,2778.17,12,2,2.8,Hyderabad,Premium,No
C0184,51,48,2174.34,8,1,2.8,Bengaluru,Standard,No
C0185,42,28,2272.51,8,1,3.3,Chennai,Basic,No
C0186,40,14,2648.26,2,3,3.8,Mumbai,Standard,Yes
C0187,27,21,2995.34,13,2,3.0,Bengaluru,Standard,No
C0188,37,32,2228.59,9,2,2.0,Delhi,Basic,Yes
C0189,30,46,3351.08,6,0,2.6,Mumbai,Basic,Yes
C0190,33,37,1586.45,11,0,4.6,Delhi,Standard,No
C0191,50,56,2505.07,6,2,3.5,Bengaluru,Basic,Yes
C0192,48,53,4578.14,6,1,3.8,Mumbai,Standard,No
C0193,47,46,2678.46,10,4,3.2,Bengaluru,Basic,No
C0194,36,37,3646.57,9,1,2.8,Mumbai,Standard,No
C0195,63,18,2573.22,7,4,4.9,Mumbai,Premium,No
C0196,23,25,2964.62,8,4,3.2,Bengaluru,Basic,No
C0197,35,8,2454.57,6,1,3.0,Delhi,Basic,No
C0198,25,23,2363.67,7,0,4.4,Delhi,Premium,No
C0199,35,56,1876.41,11,1,2.7,Delhi,Standard,No
C0200,63,26,2844.24,10,3,2.9,Bengaluru,Standard,No
C0201,36,7,1818.77,6,5,3.4,Mumbai,Basic,Yes
C0202,60,40,3032.47,15,3,3.4,Hyderabad,Basic,No
C0203,42,58,3368.23,8,2,3.6,Hyderabad,Standard,Yes
C0204,51,53,2793.23,12,2,5.0,Delhi,Premium,Yes
C0205,40,17,2271.0,11,3,3.7,Hyderabad,Basic,No
C0206,31,28,2863.17,8,3,1.3,Delhi,Standard,Yes
C0207,54,32,2253.06,10,4,3.7,Chennai,Standard,No
C0208,63,15,3248.44,9,1,3.4,Bengaluru,Basic,Yes
C0209,31,17,1034.88,9,2,3.4,Hyderabad,Basic,No
C0210,55,15,2231.51,9,0,3.6,Mumbai,Basic,Yes
C0211,31,60,907.35,7,0,3.4,Mumbai,Standard,No
C0212,52,45,1303.95,12,1,3.4,Chennai,Standard,No
C0213,55,51,3591.09,8,1,4.0,Delhi,Standard,No
C0214,40,49,3216.15,8,2,2.9,Bengaluru,Basic,No
C0215,53,58,1924.42,8,2,2.5,Chennai,Standard,Yes
C0216,32,7,1298.0,9,3,5.0,Bengaluru,Standard,No
C0217,23,53,500.0,8,3,2.8,Chennai,Standard,No
C0218,24,4,2065.2,8,1,3.5,Hyderabad,Standard,No
C0219,40,29,4436.33,4,0,2.1,Chennai,Basic,No
C0220,60,36,2847.91,10,2,3.5,Chennai,Standard,No
C0221,25,22,2052.34,9,0,2.6,Chennai,Standard,No
C0222,40,9,2872.06,11,1,3.0,Chennai,Standard,No
C0223,51,12,1251.23,14,1,4.3,Mumbai,Basic,No
C0224,29,50,2262.14,12,2,3.8,Chennai,Standard,No
C0225,52,20,2579.58,16,1,3.9,Bengaluru,Standard,No
C0226,33,19,2431.12,9,1,1.8,Bengaluru,Basic,Yes
C0227,56,56,3132.64,13,1,5.0,Mumbai,Premium,No
C0228,46,9,2775.72,10,1,2.3,Delhi,Premium,Yes
C0229,44,55,3034.66,10,2,4.8,Mumbai,Basic,No
C0230,27,56,1949.3,11,1,4.3,Mumbai,Standard,No
C0231,40,36,3218.25,7,1,3.9,Delhi,Standard,Yes
C0232,58,10,3803.15,10,4,2.6,Delhi,Premium,Yes
C0233,20,10,1723.88,5,1,3.5,Chennai,Basic,No
C0234,54,18,1789.84,9,0,3.0,Hyderabad,Basic,Yes
C0235,42,35,3568.63,7,0,3.4,Mumbai,Standard,No
C0236,52,10,2346.92,13,2,3.2,Mumbai,Basic,Yes
C0237,49,28,3623.06,11,3,1.6,Bengaluru,Standard,Yes
C0238,39,7,2145.97,8,1,4.4,Delhi,Standard,Yes
C0239,33,33,3664.04,10,1,3.3,Delhi,Basic,No
C0240,48,2,2605.19,13,1,3.0,Bengaluru,Standard,No
C0241,26,43,2706.58,6,1,2.9,Chennai,Premium,Yes
C0242,46,4,3751.77,6,1,3.7,Hyderabad,Standard,No
C0243,24,12,2210.58,11,2,2.6,Hyderabad,Standard,No
C0244,49,11,1747.1,12,1,1.4,Bengaluru,Basic,Yes
C0245,48,50,2141.15,8,2,3.8,Bengaluru,Basic,No
C0246,23,4,2861.87,14,5,3.9,Bengaluru,Premium,No
C0247,54,26,1247.39,8,3,3.2,Hyderabad,Standard,No
C0248,38,36,3009.98,5,2,2.4,Chennai,Standard,No
C0249,55,31,2068.98,5,1,3.5,Mumbai,Premium,No
C0250,21,41,3418.25,6,3,2.1,Bengaluru,Basic,Yes
C0251,28,49,584.59,4,1,2.5,Chennai,Standard,No
C0252,42,24,1870.75,10,2,2.7,Bengaluru,Basic,No
C0253,28,50,1150.83,11,1,4.2,Mumbai,Basic,No
C0254,34,20,1839.02,8,4,3.1,Mumbai,Standard,No
C0255,49,60,2698.13,6,3,3.0,Delhi,Standard,Yes
C0256,26,31,2356.62,13,5,5.0,Hyderabad,Premium,Yes
C0257,50,45,2297.3,6,1,3.7,Delhi,Basic,No
C0258,24,53,2372.65,11,4,3.7,Bengaluru,Premium,No
C0259,27,48,2662.71,4,2,3.1,Hyderabad,Standard,No
C0260,46,52,1693.17,10,1,2.9,Mumbai,Standard,No
C0261,55,33,3065.48,13,3,1.4,Hyderabad,Premium,No
C0262,27,3,3030.13,5,2,4.3,Hyderabad,Standard,No
C0263,33,30,2808.03,11,2,3.8,Delhi,Standard,No
C0264,61,11,2945.23,9,3,3.2,Bengaluru,Basic,No
C0265,64,54,2737.13,8,1,3.3,Chennai,Basic,No
C0266,46,15,4128.06,10,2,4.1,Bengaluru,Premium,No
C0267,40,14,2430.32,8,1,2.0,Hyderabad,Standard,No
C0268,35,15,2254.33,6,4,2.9,Hyderabad,Basic,Yes
C0269,47,39,1897.18,13,2,2.4,Hyderabad,Basic,No
C0270,46,35,1674.19,10,1,5.0,Chennai,Standard,No
C0271,33,57,1504.42,9,4,4.2,Chennai,Standard,No
C0272,21,25,1788.96,12,4,1.4,Hyderabad,Basic,Yes
C0273,26,17,2443.46,13,3,2.0,Bengaluru,Standard,Yes
C0274,63,3,2767.44,6,5,3.3,Bengaluru,Standard,No
C0275,38,1,2540.91,13,4,3.0,Chennai,Standard,No
C0276,41,23,1887.57,7,3,2.2,Delhi,Basic,Yes
C0277,41,56,3220.15,7,0,5.0,Mumbai,Standard,No
C0278,55,32,3091.53,9,4,3.7,Delhi,Basic,No
C0279,22,54,2372.28,10,1,3.8,Hyderabad,Standard,No
C0280,23,7,1977.67,3,2,2.8,Bengaluru,Standard,Yes
C0281,32,6,2938.74,6,0,4.1,Mumbai,Standard,No
C0282,41,51,2650.38,10,2,3.1,Bengaluru,Basic,No
C0283,50,7,1341.5,9,1,3.1,Delhi,Premium,No
C0284,42,4,2445.62,6,2,3.9,Chennai,Basic,No
C0285,39,25,2709.63,5,0,1.9,Bengaluru,Standard,No
C0286,62,56,1780.24,5,1,4.8,Delhi,Premium,No
C0287,27,42,2651.87,12,1,3.6,Chennai,Standard,No
C0288,45,6,1336.14,4,2,4.6,Delhi,Premium,No
C0289,44,51,3568.95,7,2,2.4,Chennai,Standard,No
C0290,41,51,3498.36,5,0,2.6,Hyderabad,Standard,No
C0291,56,49,2297.99,11,2,2.4,Mumbai,Standard,No
C0292,32,55,2790.76,5,5,3.6,Hyderabad,Standard,Yes
C0293,62,15,572.06,10,5,3.5,Mumbai,Basic,Yes
C0294,34,59,1574.92,9,4,3.0,Chennai,Standard,No
C0295,44,20,2264.98,6,0,2.5,Mumbai,Basic,No
C0296,43,49,1642.29,7,0,2.3,Delhi,Premium,Yes
C0297,58,35,3071.52,12,1,3.4,Chennai,Basic,No
C0298,39,47,4097.84,5,3,3.0,Delhi,Basic,Yes
C0299,32,38,1558.71,10,1,2.8,Hyderabad,Premium,No
C0300,20,39,1830.03,10,2,4.8,Hyderabad,Basic,No
