category,season,store_count,discount_percent,footfall,avg_price,sales
Home,Winter,5,32.94,1468,5490.49,19149.06
Electronics,Spring,11,2.53,2681,17009.15,29817.89
Home,Summer,6,18.7,869,40149.03,19803.47
Home,Summer,18,30.89,2688,28645.23,33721.41
Electronics,Summer,21,2.89,312,25682.12,22706.91
Electronics,Monsoon,10,28.86,562,14745.09,19439.03
Home,Monsoon,4,12.52,2583,46594.51,30354.81
Grocery,Monsoon,9,11.27,382,19911.05,19398.81
Grocery,Winter,6,34.21,1586,4445.93,14017.36
Home,Spring,2,7.03,1530,30891.62,24730.82
Electronics,Monsoon,17,24.26,187,5780.54,18206.47
Fashion,Spring,5,28.75,1167,17326.63,18285.94
Electronics,Winter,25,1.44,560,25419.86,31187.75
Home,Summer,6,23.46,2425,43723.7,23602.79
Grocery,Monsoon,26,33.3,2568,24727.97,25729.03
Fashion,Spring,12,4.35,1824,35142.71,29136.57
Electronics,Spring,23,31.37,1476,49641.56,37776.52
Fashion,Monsoon,21,20.82,2843,6661.31,23124.14
Fashion,Summer,10,21.58,614,13809.1,12929.78
Grocery,Summer,22,21.45,802,19789.35,9441.91
Grocery,Summer,21,10.46,1753,21149.23,22085.32
Home,Winter,27,32.73,2166,20609.95,31103.79
Fashion,Spring,25,33.16,122,45389.79,26457.72
Electronics,Spring,6,21.89,2560,35730.23,35417.71
Grocery,Spring,27,27.42,1153,30434.47,20401.85
Home,Winter,8,21.43,1930,15537.7,26166.02
Grocery,Spring,2,16.95,2255,41207.14,25380.14
Home,Winter,12,23.13,1404,47757.52,26989.84
Fashion,Summer,13,19.36,1234,41077.79,27435.21
Grocery,Monsoon,25,20.91,2283,178.1,15546.12
Fashion,Spring,21,27.43,461,31856.43,22589.3
Electronics,Spring,7,16.83,2276,2651.66,20443.26
Electronics,Summer,10,1.43,1999,12954.6,24854.67
Electronics,Monsoon,13,5.74,1384,3070.28,27778.79
Grocery,Winter,17,15.35,614,30229.39,22338.73
Fashion,Monsoon,26,25.37,548,34360.84,24661.02
Grocery,Summer,21,20.76,2023,5812.93,18509.54
Home,Summer,28,22.76,1606,19253.56,17464.72
Electronics,Monsoon,30,16.77,1347,22866.2,30737.3
Fashion,Winter,26,21.55,1955,18515.75,26955.11
Home,Winter,14,11.52,973,6139.15,17411.05
Electronics,Spring,2,16.46,2620,21005.49,26614.68
Electronics,Winter,28,26.05,1528,37583.78,40309.5
Fashion,Monsoon,22,30.51,2449,3643.28,20306.51
Electronics,Summer,11,15.18,2378,4100.98,29099.2
Home,Spring,1,1.53,1854,17803.09,24146.54
Home,Spring,19,5.66,1022,47092.11,25162.84
Grocery,Summer,21,0.73,2259,33461.78,27318.22
Home,Winter,4,22.86,1136,33965.63,27537.59
Home,Summer,19,11.63,1516,18159.81,30673.24
Electronics,Winter,26,18.99,2647,29723.67,37390.19
Home,Summer,29,17.26,2745,605.55,25193.62
Grocery,Monsoon,21,2.85,2381,31841.19,26247.85
Home,Winter,11,14.11,2749,45673.02,33678.79
Home,Monsoon,8,7.72,413,30667.42,25184.48
Fashion,Spring,11,14.64,2713,43697.56,25946.49
Electronics,Summer,4,7.13,2356,36226.26,32699.02
Electronics,Spring,17,29.42,2097,6115.86,22362.3
Fashion,Spring,27,6.1,1137,45132.42,25207.2
Home,Spring,7,33.63,1756,3415.55,17968.23
Home,Spring,8,14.56,2734,26744.98,29482.4
Electronics,Summer,3,29.62,1878,7192.64,21479.51
Grocery,Spring,22,22.01,1114,684.16,16076.85
Fashion,Summer,2,25.74,1193,21159.51,21624.02
Electronics,Summer,23,26.87,1224,14822.53,34529.63
Electronics,Monsoon,15,17.67,797,24351.42,26588.23
Fashion,Winter,24,19.02,2279,28902.27,26230.52
Home,Winter,22,17.99,1504,2282.58,17787.12
Fashion,Summer,22,20.58,1255,6237.86,15405.65
Grocery,Monsoon,5,1.03,1143,27976.26,21654.21
Grocery,Summer,24,13.84,2029,17224.05,16612.06
Fashion,Summer,1,21.22,2683,36485.76,30286.99
Home,Summer,26,20.92,1113,32649.35,23891.31
Home,Monsoon,4,27.75,326,42295.66,17770.02
Fashion,Winter,15,22.93,1928,34655.39,25878.94
Fashion,Monsoon,20,34.72,1592,21553.56,18495.79
Fashion,Spring,19,9.93,921,33681.03,26814.56
Fashion,Monsoon,3,12.57,2123,13841.52,25509.84
Electronics,Monsoon,20,13.43,970,15385.04,24013.3
Grocery,Monsoon,11,16.3,2552,39470.36,22843.05
Grocery,Monsoon,17,29.26,2349,22376.33,19597.17
Electronics,Winter,30,8.25,2185,39939.18,41612.32
Fashion,Spring,27,27.16,1895,41138.88,28074.56
Home,Winter,13,14.19,287,42892.36,29604.92
Electronics,Winter,11,21.06,1180,45840.1,36799.21
Electronics,Monsoon,2,22.14,1040,21606.16,19281.04
Fashion,Summer,9,13.05,2420,16011.45,24835.91
Home,Summer,26,17.94,2730,29151.72,36895.37
Electronics,Winter,2,14.46,2663,18621.5,28449.8
Grocery,Winter,21,2.42,625,30093.6,19907.07
Home,Monsoon,9,15.3,435,35308.73,19177.79
Electronics,Winter,9,3.41,2845,34451.41,34825.75
Grocery,Monsoon,8,14.18,1178,18790.19,9109.46
Fashion,Summer,17,20.75,2647,8426.32,18485.09
Grocery,Summer,1,20.28,2913,21583.41,20628.71
Grocery,Spring,25,23.19,2683,7215.45,25665.39
Grocery,Summer,29,3.33,261,44515.84,22005.52
Electronics,Winter,11,22.82,693,17359.29,22571.39
Home,Summer,8,10.93,2038,7807.54,27400.18
Fashion,Monsoon,10,13.97,2306,1369.84,14484.06
Electronics,Summer,25,30.03,159,32326.54,22553.89
Electronics,Spring,7,0.32,2001,31881.43,28961.71
Grocery,Summer,3,20.59,2358,17096.15,15669.81
Grocery,Monsoon,3,20.95,505,3678.42,1763.17
Electronics,Monsoon,18,13.88,763,20540.48,25881.96
Grocery,Winter,5,8.3,1232,15629.75,19186.51
Electronics,Summer,12,8.21,1199,33888.32,26554.59
Grocery,Monsoon,12,30.93,641,30328.38,15575.57
Electronics,Spring,19,15.47,1437,18293.23,29761.08
Grocery,Winter,30,11.58,1097,10972.84,19106.18
Fashion,Spring,6,15.71,1240,49402.99,25489.78
Home,Summer,2,23.43,967,22754.68,19736.68
Electronics,Summer,12,5.1,2166,34444.88,31676.53
Fashion,Summer,19,15.73,531,7113.59,22140.83
Electronics,Winter,5,20.58,839,24330.93,30108.35
Home,Monsoon,12,33.2,1473,1474.08,20266.59
Home,Winter,27,8.84,282,25322.21,27783.95
Fashion,Spring,27,12.57,2260,48204.47,26988.95
Grocery,Winter,17,13.28,1306,19271.91,22267.84
Home,Spring,29,21.19,2628,2045.9,27049.1
Grocery,Winter,17,12.49,1269,1644.69,9715.6
Grocery,Monsoon,10,18.67,930,19460.54,13611.53
Electronics,Spring,25,27.36,1751,8085.24,28411.93
Electronics,Summer,23,24.69,1236,1265.27,30813.47
Home,Summer,17,15.62,2910,37835.06,34892.65
Home,Winter,15,30.25,575,22980.3,17399.69
Grocery,Summer,12,19.53,2910,14533.31,27100.79
Fashion,Spring,30,18.9,1426,45014.15,29407.54
Fashion,Summer,16,1.2,1070,5895.33,17989.53
Grocery,Monsoon,24,34.53,1119,47800.35,21729.56
Home,Monsoon,19,4.3,1241,15766.94,16603.48
Home,Winter,8,8.09,1936,44431.34,29418.7
Home,Spring,21,1.81,260,30186.85,24979.51
Grocery,Monsoon,17,22.4,2548,41352.7,24180.35
Electronics,Monsoon,23,7.86,297,49202.26,34147.68
Electronics,Spring,5,6.3,1383,14491.43,22134.35
Home,Summer,22,3.1,759,48060.66,29280.9
Grocery,Summer,16,3.62,1875,19535.15,22176.02
Electronics,Winter,6,20.46,1170,19337.04,26585.16
Electronics,Summer,8,24.09,2110,17085.32,22544.44
Grocery,Spring,25,13.91,498,27116.24,16959.85
Electronics,Monsoon,18,16.8,1833,7791.84,32586.92
Electronics,Summer,25,24.01,1682,27730.2,30988.68
Grocery,Winter,12,0.61,2225,27131.07,23715.36
Grocery,Summer,15,11.31,2271,38118.9,25294.91
Grocery,Spring,27,34.06,174,41699.13,24964.65
Electronics,Winter,26,20.3,2284,22078.02,38818.25
Grocery,Summer,9,8.9,701,15186.43,17288.57
Electronics,Winter,13,18.26,936,13040.81,22027.03
Fashion,Spring,26,11.99,1628,9811.73,23126.12
Grocery,Monsoon,15,18.63,599,2976.61,12719.05
Grocery,Spring,10,4.4,1696,17188.15,15311.48
Home,Spring,16,4.65,237,13585.36,15188.37
Grocery,Spring,7,5.02,2197,48324.23,31497.68
Grocery,Spring,17,32.89,1894,27929.67,18891.32
Electronics,Monsoon,23,25.65,1072,17429.12,32395.23
Fashion,Monsoon,26,5.68,1742,29065.33,30164.2
Fashion,Winter,21,6.59,1985,7045.92,24512.47
Electronics,Summer,22,25.58,2401,22257.78,34637.37
Home,Monsoon,26,5.47,2128,31349.09,25027.33
Fashion,Monsoon,7,8.21,2857,24496.0,25768.43
Home,Summer,14,33.72,2000,20148.76,28434.7
Grocery,Monsoon,15,8.94,2710,49693.03,30923.96
Home,Spring,21,23.16,2904,44027.71,33576.27
Grocery,Spring,7,34.25,1549,31207.96,23344.33
Grocery,Summer,9,13.1,646,28511.93,16234.18
Fashion,Winter,19,0.61,1021,31070.96,23175.57
Electronics,Winter,16,8.55,680,10145.47,25922.42
Grocery,Summer,8,29.08,1472,19817.37,18806.46
Fashion,Summer,18,30.26,2056,2069.03,13281.31
Electronics,Spring,27,26.9,2103,23829.75,33487.18
Grocery,Winter,23,3.96,2196,27196.93,28459.93
Electronics,Monsoon,29,27.84,803,11464.71,24710.89
Home,Spring,18,32.15,2408,48205.04,34893.09
Home,Summer,30,21.02,2503,45481.79,37278.15
Home,Winter,20,32.93,1725,36134.95,35330.13
Fashion,Monsoon,7,28.94,737,26715.99,14463.61
Electronics,Monsoon,3,23.34,2890,43511.46,37190.81
Home,Spring,18,20.2,1109,6619.55,15108.47
Fashion,Winter,27,12.2,740,39546.44,21408.43
Home,Winter,10,5.58,2939,6328.56,18126.32
Home,Summer,7,21.17,2759,39731.11,31630.18
Home,Winter,17,11.13,1961,13860.8,25449.04
Fashion,Winter,14,30.33,2956,43866.82,29246.82
Fashion,Spring,24,34.77,1305,47207.7,20612.83
Home,Winter,3,26.33,785,7524.92,13074.73
Fashion,Monsoon,12,3.17,1951,23187.51,23325.18
Electronics,Spring,28,10.1,287,49051.27,36557.77
Grocery,Spring,13,3.82,1719,24222.03,19996.17
Home,Summer,2,22.77,1787,43191.02,27101.04
Grocery,Winter,3,26.78,1084,29477.7,15225.03
Grocery,Summer,5,32.4,647,18828.96,18493.06
Electronics,Monsoon,11,15.34,2872,14360.6,26568.66
Grocery,Spring,8,31.55,1531,10240.83,10660.85
Home,Spring,26,30.73,975,38113.73,24283.37
Electronics,Spring,23,11.1,717,19388.37,29401.31
Grocery,Monsoon,23,30.41,2561,25612.65,19091.17
Home,Monsoon,12,13.15,1465,24667.04,23257.76
Grocery,Summer,7,10.39,1343,28906.22,19572.95
Grocery,Summer,15,22.72,1002,43292.3,19332.85
Grocery,Summer,24,11.49,262,49038.89,24602.68
Fashion,Winter,17,22.06,2074,20438.45,20711.11
Fashion,Spring,4,21.34,369,41393.19,15510.34
Home,Spring,29,19.72,731,38249.94,27115.21
Home,Summer,22,13.31,1005,28719.09,19680.26
Home,Spring,25,19.2,2114,47806.75,24989.48
Home,Summer,13,20.88,1741,10103.68,23118.53
Grocery,Winter,18,19.1,304,5552.28,16217.7
Grocery,Winter,1,15.55,681,42712.7,17008.18
Home,Monsoon,16,0.51,1679,22013.58,22396.74
Grocery,Winter,13,20.55,940,42363.75,25033.4
Grocery,Summer,10,5.9,1936,44665.2,21340.16
Home,Winter,12,22.49,1351,3216.63,13779.86
Home,Monsoon,30,26.58,1819,44184.89,33391.8
Fashion,Spring,2,17.52,1742,22471.12,19568.08
Fashion,Summer,23,18.98,2743,25570.58,32341.8
Electronics,Spring,3,33.3,2397,31366.97,22046.2
Grocery,Monsoon,10,29.65,974,46326.49,14634.27
Electronics,Monsoon,2,32.0,1564,1053.89,19846.82
Fashion,Monsoon,30,28.48,2343,23894.49,27937.85
Grocery,Spring,27,3.81,789,34417.33,25226.3
Fashion,Spring,23,5.21,2110,36163.08,29732.94
Grocery,Spring,13,18.43,2786,34657.37,25171.71
Electronics,Spring,13,8.61,1522,6808.31,24046.52
Electronics,Monsoon,18,16.68,2101,15039.84,34745.73
Home,Monsoon,3,13.8,771,17999.9,13292.6
Fashion,Summer,27,19.23,1271,40241.42,29208.48
Electronics,Summer,7,26.14,1595,14010.12,22007.69
Grocery,Spring,14,25.04,1043,10614.18,15281.24
Home,Winter,20,18.24,2346,47876.66,29951.3
Electronics,Winter,29,28.78,1549,542.28,29767.06
Grocery,Monsoon,30,15.08,2639,49891.26,31406.84
Electronics,Monsoon,17,31.39,995,33873.38,34501.18
Electronics,Monsoon,29,2.49,2289,41440.62,38048.97
Grocery,Summer,30,33.41,1436,14801.51,20666.11
Grocery,Summer,21,22.91,264,814.33,8572.36
Grocery,Monsoon,12,13.3,2461,36919.69,22945.91
Grocery,Monsoon,25,6.9,2168,41723.82,27684.96
Home,Monsoon,16,16.77,1205,37049.76,19880.08
Grocery,Winter,24,6.81,1853,7228.23,15153.33
Fashion,Summer,12,5.82,2452,37696.05,31193.44
Home,Winter,15,21.61,2038,38469.25,28694.73
Fashion,Winter,25,18.31,470,32961.17,21765.41
Fashion,Monsoon,10,23.45,1980,38329.19,22112.97
Electronics,Monsoon,30,32.54,952,42311.48,30307.01
Electronics,Spring,25,18.63,483,30718.85,29457.27
Home,Spring,7,20.33,2031,4521.38,20395.13
Home,Winter,20,3.14,2592,24432.63,23096.0
Grocery,Summer,5,25.12,524,3974.7,14236.55
Fashion,Monsoon,1,14.0,2308,20436.4,25367.56
Electronics,Monsoon,30,34.19,728,20414.61,18928.32
Electronics,Winter,17,28.81,994,3393.89,27293.4
Fashion,Spring,3,18.29,2637,17506.14,25149.82
Grocery,Summer,13,4.31,2474,5638.81,19244.1
Grocery,Spring,14,30.08,697,40430.94,13918.72
Grocery,Spring,24,27.99,2436,47389.63,31375.02
Fashion,Spring,30,6.46,692,3708.59,17969.18
Home,Spring,18,10.33,1787,47760.25,32600.33
Grocery,Monsoon,4,27.77,672,26176.57,20794.85
Grocery,Monsoon,18,6.48,2175,15048.33,20913.66
Grocery,Spring,30,32.12,2190,3935.42,15195.1
Fashion,Summer,5,14.86,1804,25081.15,20876.79
Electronics,Winter,25,3.05,2570,39746.33,37511.13
Fashion,Summer,16,28.55,276,35383.62,22160.81
Home,Summer,1,13.07,628,2606.28,11326.14
Electronics,Summer,21,18.43,1733,3737.8,25548.54
Electronics,Spring,14,3.93,1065,20203.38,22982.84
Electronics,Monsoon,15,0.09,1617,14835.0,27818.59
Electronics,Summer,9,22.33,297,11695.98,22145.76
Home,Spring,15,18.03,2757,14122.12,15740.11
Grocery,Summer,17,20.77,2989,40193.79,28924.34
Fashion,Summer,25,27.78,952,46468.48,27037.11
Electronics,Spring,24,22.63,1637,20314.62,27259.75
Fashion,Monsoon,4,6.12,2169,45314.94,34060.69
Fashion,Monsoon,12,12.63,1180,16142.64,21891.65
Electronics,Winter,27,31.71,2989,23874.21,32412.92
Fashion,Spring,26,26.95,197,11378.85,19371.58
Fashion,Winter,5,19.48,2003,32059.75,28610.09
Grocery,Winter,29,8.95,534,48951.16,26414.13
Grocery,Winter,5,10.57,736,30214.31,18571.79
Electronics,Monsoon,11,25.62,687,17954.92,24293.1
Fashion,Spring,28,29.79,443,32426.09,14747.78
Grocery,Winter,6,23.5,1417,6233.74,12731.78
Grocery,Spring,7,28.33,2079,44444.09,21597.9
Home,Spring,24,26.83,670,25203.89,27088.0
Grocery,Monsoon,14,5.24,710,22522.55,17415.81
Electronics,Winter,24,14.84,1827,29334.65,33411.19
Electronics,Winter,11,5.35,2390,31276.71,34395.44
Grocery,Spring,30,8.23,1954,3681.61,23086.2
Electronics,Summer,13,30.42,2708,34162.6,33731.73
Grocery,Monsoon,2,16.55,1059,12172.39,9219.04
Home,Monsoon,25,18.74,2179,35726.24,28818.41
Grocery,Monsoon,7,6.25,2538,41144.49,27935.82
Fashion,Monsoon,20,10.93,2424,40217.53,31366.83
Grocery,Winter,4,8.06,631,27669.8,16556.69
Fashion,Winter,27,7.22,1277,26056.48,26881.61
Grocery,Summer,8,22.33,2530,7229.51,15320.99
Home,Monsoon,20,8.99,1191,38789.77,26346.93
Fashion,Monsoon,29,22.12,2001,13643.33,21103.57
Home,Spring,22,2.05,983,24885.1,23544.59
Home,Winter,21,4.96,2361,14285.28,32222.78
Electronics,Monsoon,19,9.61,1778,6778.04,23329.42
Electronics,Summer,13,20.9,2523,31514.93,31554.37
Electronics,Summer,14,23.65,2891,2811.17,24427.61
Electronics,Winter,10,15.5,2360,37457.4,29804.45
Electronics,Summer,11,15.6,2226,15947.58,28939.97
Grocery,Summer,2,25.36,1849,106.72,9869.85
Electronics,Winter,25,0.55,2775,25605.34,44185.09
Fashion,Monsoon,26,11.94,2751,2437.91,22554.38
Home,Monsoon,9,28.65,881,13880.86,21183.88
Electronics,Summer,17,21.11,2827,35378.13,39998.81
Home,Summer,26,11.8,2205,3228.21,23950.87
Fashion,Monsoon,3,31.69,980,41982.99,27552.53
Electronics,Winter,24,27.04,546,290.61,23927.8
Grocery,Summer,6,9.27,2213,12416.51,23327.16
Grocery,Spring,5,22.59,1883,37071.11,25112.13
Home,Winter,5,20.85,1377,15881.88,21533.68
Grocery,Summer,22,14.04,2091,5184.43,21657.53
Home,Summer,15,12.84,1167,18075.67,24418.1
Fashion,Spring,23,12.02,1677,13592.62,18220.26
Electronics,Spring,17,21.6,1111,42151.32,31871.01
Home,Monsoon,9,15.48,2374,15736.06,26670.2
Home,Winter,3,29.12,873,39467.73,27918.55
Home,Winter,20,23.44,2826,44604.42,31458.73
Fashion,Monsoon,26,2.45,1914,21747.49,27724.16
Fashion,Winter,17,22.41,2748,45506.16,32410.2
Home,Winter,29,9.49,2526,18928.17,29965.64
Fashion,Winter,27,20.75,1301,48207.51,31324.86
Home,Winter,10,23.8,1550,4555.55,19721.21
Home,Winter,3,8.08,2856,34382.26,31381.82
Fashion,Spring,18,15.99,406,24741.32,24289.1
Home,Winter,18,6.66,878,19443.68,25878.86
Home,Spring,30,1.83,2651,31672.32,34191.78
Electronics,Winter,17,13.25,2415,35222.47,42813.13
Home,Monsoon,24,12.7,107,317.73,19521.05
Grocery,Summer,3,34.84,2655,8430.96,15570.22
Home,Spring,3,15.62,575,35681.0,16310.3
Fashion,Winter,6,11.67,1420,33352.63,20050.57
Home,Monsoon,13,20.32,2311,48305.77,33593.18
Fashion,Summer,24,3.11,584,38075.79,23730.58
Electronics,Spring,29,33.66,2714,47543.56,36013.39
Home,Summer,15,22.22,1004,35156.77,22066.39
Electronics,Monsoon,25,26.42,658,14972.81,22830.17
Fashion,Spring,9,5.97,2067,5357.71,22182.76
Home,Summer,4,14.33,2385,39113.01,27781.87
Home,Winter,14,14.79,1227,32243.05,20773.36
Grocery,Spring,5,28.76,1333,2504.48,10474.44
Grocery,Summer,2,0.04,2701,18066.52,21512.57
Fashion,Monsoon,11,10.53,2975,47844.31,29535.67
Fashion,Monsoon,9,34.34,567,25070.02,20218.2
Fashion,Spring,24,16.62,2533,21693.18,25115.21
Grocery,Summer,3,13.39,2922,22939.21,25535.01
Home,Spring,27,4.19,947,10523.25,24269.05
Home,Spring,28,34.1,2534,18498.49,30073.59
Home,Summer,29,0.7,358,18553.68,19816.48
Electronics,Summer,9,25.8,382,2712.52,19889.24
Fashion,Winter,3,26.9,1749,38401.62,23638.26
Electronics,Summer,25,8.53,1998,20883.57,28478.56
Grocery,Monsoon,2,23.5,139,41126.78,18400.4
Fashion,Spring,12,3.25,2633,42532.37,27181.82
Home,Spring,10,9.0,2367,10678.5,20670.18
Fashion,Monsoon,9,27.58,1114,32901.94,16640.22
Electronics,Summer,15,30.26,712,23666.86,28568.46
Electronics,Monsoon,8,21.3,2015,44019.82,27467.61
Home,Monsoon,25,17.74,787,10865.46,22102.16
Grocery,Winter,5,5.58,712,33922.88,22100.83
Electronics,Monsoon,11,2.21,2407,30426.83,35109.63
Electronics,Spring,27,4.12,2513,14835.54,36140.02
Grocery,Monsoon,2,7.96,1881,6916.39,16482.42
Electronics,Spring,24,11.96,1910,32616.82,31047.92
Home,Spring,28,13.33,2691,36956.01,38076.7
Grocery,Spring,15,12.12,2796,15849.8,19804.29
Electronics,Summer,6,8.37,1647,32277.15,30629.42
Electronics,Winter,8,17.84,2030,19817.03,28244.32
Home,Spring,27,28.89,2961,35689.02,33905.98
Fashion,Spring,5,9.79,1252,10040.84,14599.05
Fashion,Summer,16,32.98,674,44521.73,23807.39
Home,Spring,26,30.57,2010,14441.74,19799.88
Home,Monsoon,18,5.66,1112,18452.52,26221.48
Home,Monsoon,6,27.52,769,2998.79,15726.53
Home,Winter,5,20.11,368,5664.46,13642.07
Fashion,Spring,28,19.83,1383,25841.51,22762.31
Electronics,Summer,16,13.69,1023,13452.87,28654.23
Home,Monsoon,13,17.54,1225,41790.46,23165.18
Grocery,Summer,28,13.9,1629,833.2,18302.88
Fashion,Summer,5,18.89,1858,19016.79,24632.99
Home,Monsoon,13,21.98,1694,16933.54,18478.38
Electronics,Summer,17,23.6,346,1064.45,22213.48
Fashion,Monsoon,18,18.64,1660,6305.98,19793.15
Electronics,Summer,8,25.25,2278,20740.77,29071.89
Fashion,Monsoon,13,4.94,2500,24693.94,23704.2
Electronics,Spring,30,7.42,2343,20274.06,38916.08
Electronics,Winter,29,28.66,2039,26593.79,32381.14
Electronics,Monsoon,19,11.29,1029,29797.07,23292.82
Grocery,Monsoon,26,0.8,2792,595.2,23203.21
Grocery,Winter,3,5.38,326,23258.35,10255.07
Grocery,Monsoon,24,7.83,2848,48178.61,33048.08
Home,Monsoon,8,33.51,364,25999.71,21756.1
Fashion,Summer,2,20.06,1495,33909.36,24163.38
Fashion,Winter,8,32.65,1557,15662.01,22545.98
Home,Spring,27,20.13,745,38722.17,33532.65
Electronics,Monsoon,13,16.78,2358,38668.78,37523.99
Home,Winter,13,10.98,1518,26112.67,26410.99
Electronics,Summer,1,21.22,1573,48803.09,37901.5
Home,Spring,6,4.87,1487,6364.96,24670.8
Electronics,Winter,24,31.44,1999,945.69,33620.35
Home,Spring,19,29.03,2604,38530.89,28254.69
Grocery,Spring,16,11.11,2872,40377.06,22605.49
Home,Spring,8,33.35,1349,6098.34,14234.26
Electronics,Monsoon,28,28.88,1081,13352.58,29129.11
Grocery,Monsoon,1,23.32,1254,975.86,9628.95
Home,Summer,27,4.26,687,14736.1,22446.86
Grocery,Summer,27,16.74,575,38679.78,24342.04
Grocery,Winter,16,17.71,1921,25946.23,16750.75
Grocery,Summer,9,8.14,1085,17469.97,16748.29
Fashion,Spring,13,2.8,2303,18649.79,27893.16
Grocery,Spring,11,27.19,1341,167.55,13185.46
Grocery,Monsoon,13,4.27,289,15060.05,15547.74
Home,Spring,25,20.8,1540,32358.29,32723.63
Electronics,Winter,21,32.78,1080,48712.3,34028.81
Fashion,Spring,10,30.66,1798,42368.34,22436.01
Home,Spring,4,9.72,1815,1277.39,21814.73
Home,Winter,27,29.8,2693,44938.17,38688.92
Fashion,Summer,6,0.01,140,39181.6,23181.17
Grocery,Summer,28,0.62,2454,39040.77,29410.87
Fashion,Winter,7,21.09,1042,22953.99,19471.91
Electronics,Monsoon,5,12.77,437,19960.46,18049.4
Fashion,Spring,11,13.53,1437,15215.49,23068.72
Fashion,Winter,13,19.76,1198,3378.17,20797.78
Grocery,Spring,26,6.71,2426,11488.94,17423.08
Electronics,Monsoon,25,7.41,995,12405.52,30307.13
Home,Spring,19,16.96,2420,24255.45,28627.75
Home,Winter,23,26.4,2984,37397.48,29717.34
Grocery,Spring,10,21.68,2767,23743.11,17022.48
Grocery,Summer,10,10.41,1774,2986.44,16608.24
Fashion,Monsoon,11,15.06,1030,47893.71,23245.85
