city,plan,satisfaction_score,support_calls,orders_last_6m,tenure_months,days_since_last_order,churn
Mumbai,Standard,1.97,3,11,12,179,Yes
Delhi,Premium,1.29,2,5,58,97,Yes
Bengaluru,Premium,3.98,1,8,19,124,No
Delhi,Basic,3.84,2,9,26,26,No
Mumbai,Basic,1.94,4,10,28,164,Yes
Delhi,Premium,4.0,3,4,15,97,Yes
Bengaluru,Premium,4.67,4,7,14,1,No
Bengaluru,Standard,1.43,2,7,48,53,Yes
Hyderabad,Standard,1.93,3,4,59,6,No
Chennai,Basic,4.0,0,18,14,37,No
Hyderabad,Premium,2.1,3,7,3,2,No
Bengaluru,Standard,3.5,3,7,50,123,Yes
Mumbai,Basic,1.32,3,1,29,69,Yes
Mumbai,Basic,2.81,1,8,60,169,Yes
Hyderabad,Premium,3.96,3,8,54,179,No
Bengaluru,Basic,3.75,1,6,6,175,Yes
Mumbai,Basic,4.26,4,9,49,13,No
Bengaluru,Standard,4.51,0,4,23,69,No
Mumbai,Basic,4.09,4,6,28,66,Yes
Bengaluru,Basic,3.69,3,12,14,59,No
Delhi,Premium,1.13,2,15,14,68,No
Bengaluru,Premium,3.14,2,3,20,59,No
Bengaluru,Premium,1.15,4,9,13,117,Yes
Hyderabad,Premium,4.23,3,6,27,10,No
Delhi,Standard,2.28,3,5,60,141,No
Chennai,Premium,3.25,3,4,35,130,Yes
Hyderabad,Standard,2.12,7,13,45,15,Yes
Chennai,Standard,4.13,6,7,56,46,No
Mumbai,Premium,4.55,2,8,2,138,Yes
Chennai,Basic,2.59,0,8,41,150,No
Bengaluru,Standard,4.45,3,9,45,89,No
Chennai,Standard,2.07,4,10,40,77,No
Hyderabad,Basic,3.14,1,14,48,136,No
Hyderabad,Basic,4.44,1,3,24,149,Yes
Chennai,Premium,2.3,6,4,29,150,Yes
Hyderabad,Premium,4.82,8,8,3,110,Yes
Hyderabad,Standard,1.49,1,9,45,97,No
Chennai,Basic,1.07,2,13,4,45,No
Delhi,Basic,4.62,4,5,50,91,Yes
Delhi,Premium,1.27,4,8,2,168,Yes
Mumbai,Standard,4.97,4,4,20,114,No
Hyderabad,Basic,4.81,2,8,54,150,No
Chennai,Standard,1.55,5,5,53,158,No
Hyderabad,Basic,3.15,5,12,15,73,Yes
Bengaluru,Standard,1.74,2,6,49,173,No
Hyderabad,Premium,2.71,2,9,32,35,No
Hyderabad,Standard,1.25,6,8,42,42,No
Delhi,Standard,1.9,7,12,1,133,Yes
Chennai,Standard,2.45,2,11,38,27,Yes
Hyderabad,Standard,2.75,3,6,35,32,No
Delhi,Standard,4.91,2,7,51,136,Yes
Mumbai,Basic,4.23,6,3,7,103,Yes
Delhi,Standard,3.95,1,10,45,85,No
Delhi,Basic,3.15,4,4,13,146,Yes
Delhi,Premium,4.36,1,9,49,78,No
Hyderabad,Standard,2.36,1,13,1,143,Yes
Hyderabad,Premium,3.84,3,13,14,154,Yes
Mumbai,Basic,4.98,4,11,29,44,No
Bengaluru,Standard,2.26,5,11,58,32,Yes
Bengaluru,Standard,3.7,2,6,3,28,No
Bengaluru,Standard,4.38,4,4,46,167,Yes
Mumbai,Basic,4.66,3,11,24,160,No
Bengaluru,Standard,3.87,3,6,1,77,Yes
Bengaluru,Standard,2.13,1,3,48,18,No
Delhi,Basic,2.31,4,15,10,103,No
Hyderabad,Basic,1.08,1,4,13,70,Yes
Hyderabad,Standard,4.04,4,14,36,119,No
Delhi,Standard,1.17,1,7,9,139,No
Delhi,Basic,4.46,1,7,14,160,No
Delhi,Basic,1.47,2,11,36,148,No
Hyderabad,Basic,1.69,0,5,10,97,Yes
Bengaluru,Standard,2.91,1,8,40,168,Yes
Delhi,Standard,3.95,2,7,23,136,Yes
Mumbai,Premium,1.56,2,3,35,35,Yes
Delhi,Premium,2.76,0,7,55,69,Yes
Chennai,Standard,2.93,3,8,7,126,No
Delhi,Basic,1.85,3,6,42,99,Yes
Hyderabad,Basic,1.46,3,5,35,78,Yes
Delhi,Basic,4.35,1,8,2,149,Yes
Chennai,Premium,3.01,1,5,15,111,No
Mumbai,Standard,1.06,6,9,9,152,Yes
Bengaluru,Basic,4.21,0,6,47,17,No
Delhi,Standard,4.92,2,9,17,146,No
Chennai,Standard,3.42,4,12,39,140,Yes
Chennai,Standard,3.01,5,12,52,144,No
Mumbai,Basic,4.51,3,5,18,4,No
Hyderabad,Premium,4.81,2,8,15,162,Yes
Delhi,Standard,4.02,2,6,18,92,No
Chennai,Basic,2.78,4,4,24,174,Yes
Mumbai,Premium,3.37,4,6,23,75,No
Bengaluru,Basic,3.8,1,8,12,159,No
Chennai,Premium,1.78,5,5,23,153,Yes
Mumbai,Premium,2.79,1,7,21,103,Yes
Hyderabad,Standard,4.32,4,9,26,24,Yes
Hyderabad,Standard,3.62,2,7,8,65,Yes
Chennai,Basic,2.64,5,12,30,117,Yes
Chennai,Premium,3.65,2,10,34,153,No
Delhi,Standard,1.47,6,13,2,156,Yes
Mumbai,Standard,2.61,2,4,5,164,Yes
Chennai,Premium,4.17,1,10,31,82,No
Delhi,Premium,1.88,3,8,33,6,No
Delhi,Premium,1.74,4,6,54,66,No
Chennai,Basic,4.8,3,6,4,67,No
Hyderabad,Premium,1.84,5,12,6,72,No
Mumbai,Standard,2.04,4,13,23,95,No
Mumbai,Premium,4.88,3,11,45,48,No
Hyderabad,Standard,3.94,1,11,19,70,No
Chennai,Basic,3.8,3,5,43,78,Yes
Mumbai,Standard,4.41,1,8,45,67,No
Chennai,Standard,1.46,1,9,8,176,Yes
Chennai,Standard,3.82,4,15,39,65,No
Delhi,Basic,3.01,3,12,13,172,Yes
Hyderabad,Standard,4.32,3,7,1,63,No
Chennai,Basic,3.03,2,9,6,46,No
Bengaluru,Premium,3.48,6,7,7,147,Yes
Hyderabad,Standard,2.91,3,7,48,73,No
Mumbai,Basic,2.91,1,3,27,71,No
Delhi,Basic,4.07,4,9,15,110,No
Mumbai,Basic,3.51,0,10,52,178,No
Mumbai,Standard,3.53,5,10,34,63,No
Hyderabad,Basic,2.8,5,11,58,41,No
Mumbai,Basic,3.12,1,6,57,7,No
Chennai,Premium,3.98,1,5,23,137,No
Mumbai,Premium,4.3,2,4,48,4,No
Delhi,Standard,3.79,4,6,49,89,No
Delhi,Premium,4.7,3,11,24,177,No
Bengaluru,Basic,4.28,4,10,15,134,Yes
Delhi,Standard,3.25,4,15,35,82,No
Mumbai,Standard,3.69,3,9,4,21,No
Delhi,Standard,4.71,1,4,44,143,Yes
Hyderabad,Standard,3.48,3,11,37,128,Yes
Delhi,Standard,4.3,2,11,17,105,Yes
Chennai,Standard,3.76,3,9,31,104,No
Hyderabad,Standard,3.21,4,11,38,68,No
Bengaluru,Basic,1.97,4,9,10,160,Yes
Chennai,Basic,2.7,4,4,54,110,No
Mumbai,Basic,4.87,0,11,50,157,Yes
Mumbai,Basic,3.63,0,3,27,66,Yes
Mumbai,Standard,3.26,7,8,42,162,Yes
Chennai,Basic,4.73,3,8,6,27,Yes
Chennai,Premium,3.35,4,4,56,60,Yes
Chennai,Basic,3.1,4,3,6,118,Yes
Hyderabad,Basic,4.04,3,4,52,167,Yes
Hyderabad,Standard,3.85,5,6,15,44,Yes
Mumbai,Basic,1.77,1,8,4,36,Yes
Delhi,Standard,2.89,4,9,57,19,No
Mumbai,Standard,2.89,1,5,48,91,No
Bengaluru,Basic,2.51,4,8,54,45,No
Hyderabad,Basic,3.07,4,7,56,149,Yes
Chennai,Standard,2.65,1,9,40,151,No
Hyderabad,Basic,1.8,2,6,7,155,Yes
Chennai,Basic,2.65,3,5,51,98,Yes
Bengaluru,Basic,1.29,2,1,58,19,Yes
Bengaluru,Basic,3.3,4,9,49,41,No
Hyderabad,Standard,4.41,2,8,53,26,No
Chennai,Standard,3.9,8,3,45,28,No
Bengaluru,Standard,2.44,4,7,47,64,No
Mumbai,Basic,1.35,4,9,26,68,Yes
Mumbai,Basic,1.81,1,6,58,80,No
Chennai,Premium,3.18,3,5,31,51,No
Hyderabad,Standard,1.83,3,5,2,102,No
Bengaluru,Premium,3.18,3,9,28,176,No
Hyderabad,Standard,1.93,7,8,42,10,No
Mumbai,Standard,4.4,3,9,13,167,Yes
Bengaluru,Standard,2.59,2,6,18,100,No
Hyderabad,Basic,1.98,1,7,30,122,Yes
Delhi,Standard,4.25,3,6,55,147,Yes
Chennai,Standard,2.37,3,8,11,64,No
Chennai,Basic,1.45,0,10,13,124,Yes
Delhi,Basic,3.28,3,14,51,19,No
Mumbai,Standard,3.33,5,11,24,76,Yes
Bengaluru,Premium,3.86,4,15,57,62,No
Chennai,Standard,1.96,4,6,29,141,Yes
Delhi,Basic,2.78,5,10,56,25,No
Delhi,Basic,2.13,2,4,54,89,Yes
Mumbai,Standard,1.32,3,5,5,92,Yes
Mumbai,Basic,4.51,3,7,35,42,No
Hyderabad,Premium,3.92,4,11,19,117,No
Chennai,Basic,2.21,1,5,55,39,Yes
Hyderabad,Standard,3.4,2,8,13,158,Yes
Delhi,Standard,1.81,3,9,5,133,Yes
Bengaluru,Premium,4.56,2,15,44,81,No
Bengaluru,Standard,1.46,3,6,14,146,No
Mumbai,Standard,1.02,5,6,38,107,No
Bengaluru,Premium,3.01,1,7,22,111,Yes
Bengaluru,Basic,3.33,1,6,9,21,No
Bengaluru,Premium,3.32,1,4,49,50,No
Delhi,Basic,1.22,1,3,40,121,Yes
Bengaluru,Standard,2.26,1,8,26,134,Yes
Bengaluru,Standard,3.0,1,8,45,50,No
Bengaluru,Basic,1.87,3,4,5,115,Yes
Hyderabad,Premium,4.49,2,5,29,1,Yes
Delhi,Basic,1.35,5,11,54,30,Yes
Mumbai,Basic,2.95,5,7,22,107,Yes
Hyderabad,Standard,3.77,2,10,49,180,Yes
Chennai,Standard,2.05,2,9,3,165,Yes
Delhi,Standard,3.5,4,8,28,48,No
Delhi,Basic,4.32,0,8,38,87,Yes
Chennai,Basic,1.76,2,11,14,129,Yes
Chennai,Basic,4.67,3,12,47,19,No
Chennai,Basic,3.21,3,8,14,46,Yes
Mumbai,Standard,2.2,3,8,43,130,No
Bengaluru,Standard,2.72,1,6,11,56,No
Delhi,Premium,2.25,3,13,9,145,No
Bengaluru,Premium,3.9,1,4,38,92,No
Bengaluru,Basic,4.19,2,12,47,82,No
Chennai,Standard,4.33,2,4,44,79,No
Mumbai,Basic,4.94,1,12,6,150,Yes
Hyderabad,Basic,4.17,6,9,1,105,No
Mumbai,Standard,3.41,2,10,25,27,No
Bengaluru,Basic,2.36,7,10,16,55,No
Mumbai,Basic,3.18,8,8,52,160,Yes
Chennai,Premium,1.16,2,6,15,60,No
Hyderabad,Standard,3.98,2,11,34,109,No
Chennai,Standard,2.78,6,8,17,156,Yes
Hyderabad,Basic,1.08,3,8,3,156,Yes
Bengaluru,Basic,1.25,1,10,3,120,No
Hyderabad,Premium,2.55,3,9,37,153,No
Hyderabad,Basic,3.33,0,8,17,85,Yes
Hyderabad,Standard,2.86,6,3,55,86,No
Mumbai,Basic,3.48,2,9,49,117,Yes
Mumbai,Standard,2.92,1,10,52,154,No
Bengaluru,Basic,3.65,3,6,38,108,Yes
Hyderabad,Premium,1.88,3,6,1,75,Yes
Delhi,Premium,1.45,5,6,7,119,No
Bengaluru,Standard,3.39,1,7,26,145,Yes
Hyderabad,Basic,2.94,2,11,47,7,No
Hyderabad,Premium,1.11,3,7,39,148,Yes
Mumbai,Standard,2.52,6,8,19,166,Yes
Bengaluru,Standard,1.42,2,7,52,75,Yes
Hyderabad,Standard,3.13,3,9,54,58,No
Hyderabad,Basic,2.58,4,3,30,16,Yes
Bengaluru,Basic,3.45,5,4,43,179,Yes
Delhi,Standard,4.22,1,14,55,27,No
Bengaluru,Basic,2.2,4,12,14,51,Yes
Bengaluru,Standard,4.85,4,12,13,75,Yes
Delhi,Standard,3.14,1,4,20,144,Yes
Bengaluru,Premium,3.47,6,9,26,87,No
Hyderabad,Premium,3.72,5,9,27,123,Yes
Bengaluru,Premium,3.67,5,9,25,76,Yes
Delhi,Basic,3.04,6,5,9,40,Yes
Chennai,Basic,2.72,3,12,41,67,No
Bengaluru,Standard,1.22,1,11,48,130,Yes
Mumbai,Basic,1.09,1,3,12,102,Yes
Hyderabad,Basic,2.43,6,1,10,176,No
Hyderabad,Standard,2.33,2,9,6,180,Yes
Mumbai,Standard,2.55,4,9,50,152,No
Mumbai,Premium,1.55,3,6,34,93,No
Bengaluru,Basic,3.95,7,12,59,110,No
Mumbai,Basic,4.43,2,10,52,82,No
Chennai,Basic,4.75,4,8,41,78,No
Delhi,Premium,2.97,0,8,19,2,No
Mumbai,Standard,3.8,1,7,6,65,No
Mumbai,Premium,4.42,2,10,2,20,No
Chennai,Premium,2.67,7,11,15,34,No
Hyderabad,Standard,2.24,5,7,17,41,No
Hyderabad,Standard,4.75,3,8,16,169,Yes
Bengaluru,Basic,3.06,7,13,28,23,No
Chennai,Standard,2.99,2,9,21,38,No
Delhi,Standard,1.71,3,2,8,172,Yes
Delhi,Standard,1.43,1,6,10,67,Yes
Chennai,Premium,4.37,3,3,10,62,No
Delhi,Premium,3.46,3,5,50,140,No
Hyderabad,Standard,2.3,4,12,10,30,Yes
Delhi,Standard,1.77,3,7,9,87,Yes
Delhi,Standard,3.22,4,8,28,169,Yes
Chennai,Basic,3.34,2,5,24,148,Yes
Chennai,Basic,1.83,4,9,19,118,Yes
Delhi,Standard,4.41,6,8,33,6,Yes
Mumbai,Standard,1.34,3,11,4,75,No
Chennai,Basic,2.42,4,5,56,132,Yes
Bengaluru,Premium,3.72,1,7,3,93,No
Bengaluru,Basic,2.1,6,7,42,10,Yes
Hyderabad,Basic,4.31,4,3,12,51,No
Delhi,Standard,3.96,2,10,18,93,No
Mumbai,Basic,4.16,0,7,23,38,No
Hyderabad,Basic,1.48,2,5,20,129,Yes
Delhi,Basic,1.56,4,7,6,136,Yes
Chennai,Standard,2.15,3,5,53,102,Yes
Bengaluru,Standard,3.07,4,7,34,81,No
Mumbai,Standard,3.99,4,11,42,83,No
Bengaluru,Standard,4.35,6,4,2,161,Yes
Chennai,Basic,3.82,3,10,30,143,Yes
Delhi,Premium,4.71,2,9,9,31,No
Chennai,Basic,3.95,5,10,27,21,No
Chennai,Premium,2.23,5,10,42,131,No
Bengaluru,Standard,2.06,4,7,34,126,Yes
Mumbai,Premium,3.78,2,5,40,35,No
Chennai,Basic,1.77,1,7,24,169,Yes
Bengaluru,Standard,1.37,5,5,49,144,Yes
Mumbai,Basic,3.13,6,3,17,45,Yes
Delhi,Basic,4.29,1,3,29,59,Yes
Delhi,Standard,1.41,6,9,36,178,Yes
Hyderabad,Basic,4.17,3,10,50,12,No
Bengaluru,Standard,4.25,4,8,12,140,Yes
Mumbai,Basic,2.93,3,6,31,33,No
Chennai,Basic,1.23,3,5,49,177,Yes
Delhi,Standard,1.7,4,7,9,21,No
Mumbai,Standard,3.83,1,7,19,60,No
Bengaluru,Standard,3.85,5,8,46,52,Yes
Hyderabad,Standard,4.59,2,9,46,167,Yes
Delhi,Premium,3.33,4,11,17,177,Yes
Mumbai,Basic,1.5,5,6,2,123,No
Mumbai,Standard,1.49,3,8,40,106,Yes
Mumbai,Premium,3.88,3,9,5,100,Yes
Bengaluru,Standard,1.74,4,7,59,154,No
Bengaluru,Standard,2.31,2,6,39,71,No
Bengaluru,Standard,2.95,4,8,54,135,No
Chennai,Standard,1.1,0,9,48,62,No
Mumbai,Standard,2.0,0,8,16,88,No
Delhi,Basic,2.63,4,13,17,24,Yes
Bengaluru,Basic,2.12,2,9,54,40,Yes
Bengaluru,Premium,1.55,2,9,27,76,Yes
Mumbai,Basic,3.91,1,11,7,175,No
Bengaluru,Standard,4.25,2,7,52,136,Yes
Chennai,Standard,2.03,5,7,8,9,No
Chennai,Standard,4.1,2,6,8,3,No
Bengaluru,Basic,2.54,3,6,23,21,No
Mumbai,Basic,3.03,0,12,32,95,No
Mumbai,Premium,4.42,2,8,43,176,Yes
Mumbai,Premium,4.0,3,8,47,175,Yes
Hyderabad,Standard,4.22,4,3,18,16,No
Bengaluru,Standard,1.55,6,11,38,107,Yes
Mumbai,Standard,1.28,4,9,54,93,No
Chennai,Standard,4.57,3,12,12,133,No
Delhi,Standard,2.55,2,8,15,139,No
Delhi,Basic,2.15,5,5,28,157,Yes
Mumbai,Standard,3.9,3,6,55,79,No
Delhi,Standard,4.35,3,5,38,70,No
Delhi,Premium,4.45,2,7,50,48,Yes
Hyderabad,Basic,2.26,3,10,56,15,No
Chennai,Standard,4.41,6,6,31,34,Yes
Chennai,Standard,1.16,1,6,52,60,No
Hyderabad,Standard,1.2,2,8,9,2,No
Hyderabad,Basic,3.49,2,7,8,80,Yes
Delhi,Standard,1.25,2,9,46,19,No
Bengaluru,Standard,2.3,7,3,19,49,Yes
Delhi,Basic,3.69,1,7,51,78,No
Hyderabad,Standard,2.35,3,11,8,28,No
Chennai,Standard,1.72,8,13,34,48,Yes
Delhi,Standard,2.13,1,6,57,96,No
Bengaluru,Premium,2.83,2,4,4,165,Yes
Delhi,Basic,2.9,4,9,31,177,Yes
Mumbai,Basic,4.13,1,5,38,109,No
Delhi,Standard,4.0,4,7,3,176,No
Hyderabad,Basic,2.83,4,7,35,73,Yes
Chennai,Basic,4.38,4,11,19,100,Yes
Chennai,Basic,1.46,2,8,43,29,Yes
Hyderabad,Basic,2.02,5,6,29,157,Yes
Mumbai,Premium,4.31,3,7,10,58,No
Hyderabad,Basic,2.51,3,5,12,48,No
Delhi,Standard,4.92,3,5,46,23,No
Hyderabad,Basic,2.87,2,7,30,27,No
Hyderabad,Standard,4.17,3,6,30,7,No
Mumbai,Basic,2.61,0,10,60,49,No
Delhi,Standard,2.7,1,8,18,109,No
Bengaluru,Standard,2.53,1,10,24,68,No
Bengaluru,Basic,3.88,3,5,32,170,Yes
Chennai,Standard,3.19,5,7,9,172,No
Hyderabad,Basic,4.78,1,9,47,154,No
Chennai,Standard,2.0,7,5,24,151,Yes
Mumbai,Basic,1.4,3,9,26,73,Yes
Bengaluru,Premium,2.57,2,7,3,101,No
Hyderabad,Basic,3.47,6,6,23,8,Yes
Mumbai,Standard,4.44,5,12,11,53,No
Mumbai,Basic,2.38,4,11,10,142,Yes
Hyderabad,Basic,3.62,3,5,50,135,Yes
Mumbai,Standard,2.4,1,5,36,137,Yes
Hyderabad,Premium,3.47,4,5,60,3,No
Hyderabad,Basic,4.54,1,8,13,78,Yes
Delhi,Basic,1.93,1,5,29,145,Yes
Chennai,Basic,2.62,5,10,38,172,Yes
Mumbai,Basic,4.97,2,12,59,86,No
Mumbai,Basic,4.47,4,7,53,46,No
Delhi,Standard,3.26,6,8,13,90,Yes
Delhi,Basic,3.07,3,11,57,156,Yes
Delhi,Basic,2.14,1,10,26,142,Yes
Bengaluru,Standard,3.07,3,8,20,9,No
Bengaluru,Standard,4.39,2,11,5,115,Yes
Bengaluru,Basic,3.74,4,9,20,154,Yes
Hyderabad,Basic,2.16,2,11,14,130,Yes
Mumbai,Standard,1.81,5,10,45,75,Yes
Chennai,Basic,2.06,3,5,14,81,Yes
Hyderabad,Standard,1.68,4,13,8,128,Yes
Mumbai,Basic,1.38,3,6,48,34,No
Mumbai,Standard,2.68,3,9,13,147,No
Delhi,Basic,1.45,0,4,24,39,No
Delhi,Standard,1.69,3,10,15,13,No
Hyderabad,Premium,3.19,0,5,51,133,Yes
Delhi,Standard,1.66,3,9,1,50,No
Mumbai,Basic,1.26,5,7,22,23,Yes
Delhi,Basic,2.27,2,11,34,122,No
Bengaluru,Basic,1.88,0,7,50,120,No
Delhi,Basic,3.06,5,6,51,88,No
Mumbai,Basic,1.41,3,12,40,157,Yes
Hyderabad,Standard,4.01,2,9,3,112,No
Chennai,Standard,4.62,3,7,55,111,Yes
Delhi,Standard,3.97,2,8,26,72,Yes
Mumbai,Standard,3.13,3,7,14,154,No
Chennai,Standard,4.44,4,8,58,57,No
Chennai,Basic,3.78,1,8,41,1,No
Bengaluru,Premium,1.04,3,5,8,156,Yes
Chennai,Basic,2.58,2,6,49,113,No
Mumbai,Standard,4.4,2,7,55,62,No
Mumbai,Standard,2.38,0,9,55,47,No
Delhi,Standard,1.14,3,4,56,78,No
Delhi,Standard,3.98,3,8,16,106,No
Delhi,Basic,4.21,2,5,42,159,Yes
Chennai,Standard,1.64,1,11,21,126,No
Chennai,Standard,3.15,3,8,10,177,Yes
Bengaluru,Standard,1.77,4,6,57,5,Yes
Delhi,Premium,3.88,4,10,25,31,No
Hyderabad,Basic,2.09,5,10,56,37,No
Bengaluru,Basic,2.26,5,4,38,79,Yes
Hyderabad,Basic,4.38,2,13,22,143,No
Chennai,Basic,2.91,3,11,49,52,No
Bengaluru,Standard,3.68,3,12,48,139,Yes
Bengaluru,Standard,2.61,2,7,47,43,No
Mumbai,Standard,2.19,2,12,54,151,Yes
Chennai,Premium,3.5,4,9,46,40,No
Chennai,Premium,1.62,1,18,4,63,No
Bengaluru,Premium,2.49,6,5,4,130,Yes
Chennai,Basic,1.84,1,5,30,87,Yes
Bengaluru,Standard,3.78,4,10,2,73,Yes
Mumbai,Basic,4.78,2,10,29,175,Yes
Bengaluru,Basic,4.98,4,10,43,104,Yes
Chennai,Standard,2.8,3,6,36,158,Yes
Chennai,Basic,2.01,5,9,21,16,Yes
Bengaluru,Basic,2.77,5,11,60,59,No
Bengaluru,Basic,4.39,1,4,21,47,No
Bengaluru,Basic,1.82,4,3,48,116,Yes
Delhi,Premium,4.81,2,6,21,158,No
Chennai,Basic,2.37,3,9,4,109,Yes
Chennai,Basic,4.94,1,10,1,9,No
Delhi,Standard,4.35,4,7,26,65,No
Bengaluru,Standard,4.23,3,5,56,59,No
Mumbai,Premium,2.27,4,9,51,102,No
Bengaluru,Basic,1.04,4,9,2,136,Yes
Bengaluru,Standard,2.53,4,11,9,123,No
Delhi,Standard,2.21,3,7,55,180,No
Chennai,Premium,1.15,1,8,57,146,Yes
Bengaluru,Standard,3.02,5,12,45,91,No
Chennai,Premium,2.61,5,4,18,96,Yes
Hyderabad,Basic,3.54,4,4,48,58,Yes
Chennai,Standard,3.48,5,10,48,177,Yes
Mumbai,Standard,1.48,3,7,57,32,No
Mumbai,Premium,4.91,2,9,42,48,No
Bengaluru,Basic,1.75,5,5,41,45,No
Chennai,Basic,2.78,6,13,11,100,Yes
Bengaluru,Basic,2.95,3,10,25,100,No
Delhi,Basic,4.25,0,9,26,46,No
Mumbai,Basic,1.4,3,8,58,159,Yes
Bengaluru,Premium,2.71,1,10,36,165,No
Delhi,Standard,3.51,0,9,42,144,Yes
Bengaluru,Standard,1.86,1,5,35,174,Yes
Chennai,Standard,3.51,4,13,38,126,No
Chennai,Standard,4.69,2,5,3,46,No
Chennai,Basic,4.99,8,21,59,121,Yes
Chennai,Basic,1.13,7,3,41,88,Yes
Hyderabad,Basic,1.94,3,5,35,61,Yes
Delhi,Standard,2.24,3,7,50,46,Yes
Delhi,Standard,2.6,3,6,40,179,Yes
Chennai,Basic,1.97,0,6,22,163,Yes
Hyderabad,Standard,1.81,3,5,8,81,No
Chennai,Premium,4.82,3,5,15,170,Yes
Hyderabad,Premium,4.67,4,7,45,45,No
Chennai,Premium,1.19,1,7,7,118,No
Mumbai,Standard,2.36,3,14,19,47,Yes
Mumbai,Basic,2.62,4,11,40,158,Yes
Bengaluru,Standard,1.96,4,7,42,152,No
Chennai,Basic,3.52,2,7,17,171,Yes
Delhi,Standard,3.56,5,6,1,162,Yes
Bengaluru,Standard,4.4,2,6,45,23,Yes
Mumbai,Basic,3.96,4,8,29,61,No
Chennai,Standard,3.17,3,6,58,165,No
Bengaluru,Premium,3.61,3,10,13,13,No
Chennai,Basic,2.1,2,6,56,7,No
Mumbai,Premium,3.37,2,13,48,170,No
Bengaluru,Basic,2.96,1,5,29,166,Yes
Mumbai,Standard,1.53,3,11,41,180,Yes
Hyderabad,Standard,1.97,5,7,42,172,Yes
Mumbai,Standard,2.17,1,7,6,141,Yes
Chennai,Premium,4.7,2,1,5,28,Yes
Delhi,Premium,1.92,3,14,34,96,Yes
Mumbai,Standard,2.16,2,3,11,107,Yes
Delhi,Basic,2.48,3,7,9,98,Yes
Hyderabad,Premium,3.65,4,7,38,112,No
Bengaluru,Basic,1.47,1,14,40,1,No
Bengaluru,Premium,4.82,1,9,41,43,No
Delhi,Basic,4.46,3,6,9,42,Yes
Bengaluru,Basic,3.31,3,7,8,95,Yes
Mumbai,Standard,3.7,3,10,44,178,Yes
Delhi,Basic,1.07,2,8,58,129,Yes
Chennai,Basic,2.36,1,9,40,51,Yes
Mumbai,Basic,4.18,3,12,3,144,No
Mumbai,Basic,1.31,5,9,13,167,No
Mumbai,Basic,2.13,0,6,19,15,Yes
Chennai,Basic,3.34,8,10,34,125,Yes
Hyderabad,Standard,2.03,4,11,32,161,Yes
Bengaluru,Basic,4.74,1,4,49,87,Yes
Delhi,Standard,1.52,6,5,16,53,Yes
Hyderabad,Basic,4.19,0,9,36,145,Yes
Delhi,Premium,3.03,7,9,18,89,Yes
Bengaluru,Premium,4.0,1,8,14,106,Yes
Chennai,Basic,2.24,3,11,30,6,No
Mumbai,Standard,3.06,1,6,2,31,Yes
Mumbai,Premium,4.43,1,6,13,40,No
Chennai,Premium,2.87,2,6,27,158,No
Hyderabad,Standard,2.44,8,5,59,69,Yes
