Repeat,Fold,Model,Runtime_Sec,MAE,RMSE,R2
3,1,Gradient Boosting,0.018633394000062253,4366.886471925177,5353.328382173366,0.4106561579742293
3,2,Linear Regression,0.007513809999863952,3830.620353535257,4615.278341423025,0.4681178036609366
3,2,Decision Tree,0.008275385999922946,5024.3001454673395,6121.602916194953,0.0642712610034254
3,2,Random Forest,0.09855356200000642,4131.202470833334,4998.855781042591,0.3760340763548945
3,2,Gradient Boosting,0.018338930999789227,3976.823179693129,4918.62513681231,0.3959024038824206
3,3,Linear Regression,0.0077709269999104436,3632.210493167982,4547.603666896826,0.5440896447937955
3,3,Decision Tree,0.007928963999802363,4457.444857045378,5748.804721753032,0.27143323915377426
3,3,Random Forest,0.11059678400010853,3608.30122,4694.994442140995,0.5140580349641526
3,3,Gradient Boosting,0.020764188999919497,3932.622496141923,5027.5565509371945,0.4427781097171821
3,4,Linear Regression,0.007314489999998841,3469.8886041048263,4496.13293358518,0.5267779066339917
3,4,Decision Tree,0.00769700599994394,4590.590652612355,5664.228470651947,0.24895103629592774
3,4,Random Forest,0.11980385100014246,3843.763831666665,4888.477214683111,0.44058524565505497
3,4,Gradient Boosting,0.01853971300010926,3907.5222776993605,5033.686481819502,0.406857489655598
3,5,Linear Regression,0.007197543999836853,3710.838109064088,4745.178126910428,0.46984379872158044
3,5,Decision Tree,0.007912681000107114,4842.997708819253,6065.947330680626,0.13364462077441142
3,5,Random Forest,0.11530559600009838,3794.982510833334,4873.22424491939,0.44084579083007924
3,5,Gradient Boosting,0.018133862999775374,4156.227154701779,5126.135123980227,0.38130172391723505
4,1,Linear Regression,0.00709240699984548,3883.2655612735416,4777.5713511066715,0.4372830460507594
4,1,Decision Tree,0.0076983680000921595,5170.621817958647,6439.646868564863,-0.022350330354611536
4,1,Random Forest,0.11081823799986523,4147.412575000001,5105.009288471927,0.35750654230357926
4,1,Gradient Boosting,0.019058583000060025,4022.304023063329,4969.1438580928525,0.39125027748041175
4,2,Linear Regression,0.007421591999900556,3304.266800178953,4358.802283397312,0.544780297109315
4,2,Decision Tree,0.007551737000085268,4807.887119196898,6010.955830207762,0.13428730747742856
4,2,Random Forest,0.12041012400004547,3895.165392499999,4937.855175358114,0.4157975044250568
4,2,Gradient Boosting,0.017126618000020244,3673.022135188448,4757.763535696589,0.45763404749500736
4,3,Linear Regression,0.006642881000061607,3444.203072055998,4347.461826964107,0.5382140301033782
4,3,Decision Tree,0.007794422999950257,4460.5522136523205,5800.44783766633,0.17796136304999455
4,3,Random Forest,0.11726954999994632,3674.427707499999,4575.879602006313,0.488414346151013
4,3,Gradient Boosting,0.03222304200016879,3663.7441780052195,4583.544087216165,0.4866991242300176
4,4,Linear Regression,0.007074069000054806,3736.7359783125876,4732.023029753278,0.5330409197932929
4,4,Decision Tree,0.008096616999864636,4837.2780319426965,6107.567519376583,0.22210374745091044
4,4,Random Forest,0.12763408799992249,4030.815809166666,5143.358870469812,0.4483307450455367
4,4,Gradient Boosting,0.01782017100003941,4179.042291579927,5366.993010101845,0.39931444961885154
4,5,Linear Regression,0.006848329999911584,4174.974541745372,4992.335001153554,0.48594308380509654
4,5,Decision Tree,0.007776865999858273,5288.575357140314,6597.562066925972,0.10221832747923454
4,5,Random Forest,0.12555297399990195,4403.622855833334,5463.413559304954,0.38435278582312926
4,5,Gradient Boosting,0.017988734999789813,4624.999887986857,5561.131951887076,0.3621329536005401
5,1,Linear Regression,0.006985665999991397,3816.4908832791675,4748.463925724995,0.507367640606013
5,1,Decision Tree,0.008624419999932798,5076.591381893972,6156.022110840206,0.1720254422024109
5,1,Random Forest,0.12393472400003702,4097.717956666667,4947.390804055732,0.4652274770115181
5,1,Gradient Boosting,0.01916809799990915,4278.561372849254,5253.7981367392185,0.39693598589358736
5,2,Linear Regression,0.00713491100009378,3496.7265160331212,4393.902277766979,0.498251472587657
5,2,Decision Tree,0.008521004999920478,5057.975219289738,6265.858079886471,-0.020343558132046136
5,2,Random Forest,0.12989003699999557,3531.6075025,4343.773730148562,0.509634725312883
5,2,Gradient Boosting,0.022807693000004292,3731.749414816532,4693.396790098679,0.4275206010775857
5,3,Linear Regression,0.007800461999977415,3909.81373609503,4873.273092153469,0.4775536925871955
5,3,Decision Tree,0.007907453000143505,5624.07083396164,6768.179573694688,-0.007729358139299425
5,3,Random Forest,0.11282126500009326,4130.1569325,5156.985809489287,0.41495127404914633
5,3,Gradient Boosting,0.017768373000080828,4060.7765901403627,5176.338257928913,0.41055204946197255
5,4,Linear Regression,0.0067683699999179225,3420.8300294719684,4304.556126335701,0.6267283745963346
5,4,Decision Tree,0.008150107000119533,4243.560013221816,5214.121080476661,0.4523154975634922
5,4,Random Forest,0.14688564800007953,3706.6832016666667,4551.995697713731,0.5825812877310623
5,4,Gradient Boosting,0.017217084000094474,4060.5876348142865,5141.189902869094,0.4675295391861568
5,5,Linear Regression,0.007430195000097228,3977.768024156712,4941.169250789787,0.4015067794158156
5,5,Decision Tree,0.007834523000155968,5449.25774413503,6809.5491889972045,-0.13667549618799368
5,5,Random Forest,0.10953478800001903,4246.530001666667,5243.23481489764,0.3260954469383337
5,5,Gradient Boosting,0.01622770600010881,4117.8441203728935,5012.7481021276435,0.38404137966297514
