date,sales
2025-03-11,12970.983893756302
2025-03-12,13420.08789350217
2025-03-13,14072.980233042024
2025-03-14,14223.690677405873
2025-03-15,13955.32160156372
2025-03-16,13082.395715110772
2025-03-17,12645.59863837765
2025-03-18,12532.977502693606
2025-03-19,13231.505655009703
2025-03-20,13916.659667480333
2025-03-21,13860.59117674008
2025-03-22,13501.309289307264
2025-03-23,12542.076720025267
2025-03-24,12134.426729348013
2025-03-25,12313.195566066754
2025-03-26,12868.773431461152
2025-03-27,13892.500374936235
2025-03-28,13957.781132653232
2025-03-29,13672.546756089303
2025-03-30,13118.701730969042
2025-03-31,12760.126625462848
2025-04-01,13075.212559517275
2025-04-02,13713.832873656285
2025-04-03,14427.394553313985
2025-04-04,14752.842810923012
2025-04-05,14091.496151602309
2025-04-06,13470.430008416915
2025-04-07,13089.200776754476
2025-04-08,13349.473663849627
2025-04-09,14283.494213725939
2025-04-10,14711.545962465836
2025-04-11,14950.330897330457
2025-04-12,14755.077443316242
2025-04-13,13667.574670490636
2025-04-14,13341.095566353639
2025-04-15,13132.952318368394
2025-04-16,13853.02123958383
2025-04-17,14307.992529345927
2025-04-18,14510.63128230834
2025-04-19,14199.553279460646
2025-04-20,12947.865974110635
2025-04-21,12839.796098780707
2025-04-22,12948.260215989167
2025-04-23,13461.51815505885
2025-04-24,13990.731493392173
2025-04-25,14465.696604410226
2025-04-26,13953.78105891544
2025-04-27,13426.665368329099
2025-04-28,13016.741297308055
2025-04-29,13564.731950955827
2025-04-30,14005.355726186854
2025-05-01,14640.327211425878
2025-05-02,15132.518600514679
2025-05-03,14787.432070748955
2025-05-04,14354.355948824974
2025-05-05,13888.0464703749
2025-05-06,14039.391462252077
2025-05-07,14959.369952752337
2025-05-08,15184.114263235437
2025-05-09,15465.068302375319
2025-05-10,14951.992941129758
2025-05-11,14290.744488885037
2025-05-12,13615.92293955014
2025-05-13,14090.27377386038
2025-05-14,14537.031403906332
2025-05-15,14905.371887955338
2025-05-16,15075.884490737195
2025-05-17,14779.673409922962
2025-05-18,14065.03011458695
2025-05-19,13750.21947161836
2025-05-20,14027.52331231866
2025-05-21,14204.882266286679
2025-05-22,14596.464466159265
2025-05-23,14553.385541907192
2025-05-24,14543.45438855609
2025-05-25,13648.893992261403
2025-05-26,13316.835536110111
2025-05-27,13518.85064460657
2025-05-28,14356.154276913438
2025-05-29,15337.401712255489
2025-05-30,15445.397206626722
2025-05-31,15040.246907582976
2025-06-01,14256.34140710942
2025-06-02,13788.899833982778
2025-06-03,14266.411179800583
2025-06-04,15096.734312317536
2025-06-05,16162.495576245203
2025-06-06,16088.11357155249
2025-06-07,15819.229143149809
2025-06-08,14832.860466928745
2025-06-09,14247.996829023203
2025-06-10,14431.433654403343
2025-06-11,15101.874479848382
2025-06-12,16228.184675467757
2025-06-13,15797.870612478275
2025-06-14,15565.289495790466
2025-06-15,14438.671929694423
2025-06-16,14233.43415609482
2025-06-17,14227.702924417119
2025-06-18,14731.301814889926
2025-06-19,15364.804333928614
2025-06-20,15381.11550847426
2025-06-21,15099.11874218388
2025-06-22,14197.766942373017
2025-06-23,13617.167384251623
2025-06-24,13809.439044191813
2025-06-25,14791.35439348696
2025-06-26,15782.378014786857
2025-06-27,15778.983852266154
2025-06-28,15368.414790166029
2025-06-29,14811.08726601054
2025-06-30,14646.391588152681
2025-07-01,14726.492351015653
2025-07-02,15385.064587834018
2025-07-03,16422.192091440218
2025-07-04,16552.28005574247
2025-07-05,16364.94868851221
2025-07-06,15440.156452782854
2025-07-07,14764.441701851483
2025-07-08,14920.709436953675
2025-07-09,16127.142460134455
2025-07-10,16784.528021541817
2025-07-11,16568.79043842851
2025-07-12,16020.330823977065
2025-07-13,15551.290283737791
2025-07-14,14557.603312745621
2025-07-15,14684.392376490114
2025-07-16,15550.238562176033
2025-07-17,15956.496348598981
2025-07-18,16127.263425813326
2025-07-19,15586.966285050685
2025-07-20,14902.250808830891
2025-07-21,14614.682577349104
2025-07-22,14540.21367022877
2025-07-23,15322.374129874112
2025-07-24,15539.550349579416
2025-07-25,16120.207981304135
2025-07-26,15590.604558132396
2025-07-27,14873.30910734223
2025-07-28,14574.212359214162
2025-07-29,14943.740759708047
2025-07-30,15944.862457624087
2025-07-31,16317.366331772695
2025-08-01,16833.233883405654
2025-08-02,16380.154043781504
2025-08-03,15758.632836229766
2025-08-04,15611.519114903276
2025-08-05,15748.279450895698
2025-08-06,16594.266512255403
2025-08-07,17008.280590748556
2025-08-08,17073.394487586644
2025-08-09,16678.218022914436
2025-08-10,15987.263415643714
2025-08-11,15463.59784269873
2025-08-12,15337.284876284277
2025-08-13,16141.848421561
2025-08-14,16755.637859522823
2025-08-15,17256.273791242667
2025-08-16,16609.601718896538
2025-08-17,15317.111655117882
2025-08-18,14907.167098101776
2025-08-19,14822.312247868522
2025-08-20,15623.697305153753
2025-08-21,16449.83080782836
2025-08-22,16792.20752419871
2025-08-23,16021.590655123251
2025-08-24,15353.741030834875
2025-08-25,14698.384077827666
2025-08-26,15307.660010672467
2025-08-27,15909.733916481147
2025-08-28,16777.697402303922
2025-08-29,16990.853785284387
2025-08-30,16783.394179352446
2025-08-31,15853.839200689987
2025-09-01,15545.746494006686
2025-09-02,16445.12289153209
2025-09-03,16567.975367073654
2025-09-04,17323.110788308797
2025-09-05,18052.868013368112
2025-09-06,17803.248121628927
2025-09-07,16330.292260894346
2025-09-08,15994.737894126607
2025-09-09,16249.338410536293
2025-09-10,17111.668939524614
2025-09-11,17223.95397536486
2025-09-12,17450.09897395296
2025-09-13,17098.72194194104
2025-09-14,16223.896454286085
2025-09-15,15546.571692439926
2025-09-16,15690.851742757663
2025-09-17,16080.103583028551
2025-09-18,16911.974054479386
2025-09-19,17050.76354482012
2025-09-20,16679.05690546692
2025-09-21,15817.70506944693
2025-09-22,15580.212776370758
2025-09-23,15898.020655406737
2025-09-24,16481.5621075155
2025-09-25,17269.369550078067
2025-09-26,17479.225198534452
2025-09-27,17117.256108138397
2025-09-28,16361.318375712382
2025-09-29,16199.840502614637
2025-09-30,16396.96314157187
2025-10-01,17555.273659139133
2025-10-02,18214.175814008202
2025-10-03,18237.852536517716
2025-10-04,17627.42631283769
2025-10-05,16864.499609708797
2025-10-06,16837.251859117172
2025-10-07,16832.71353276148
2025-10-08,17516.137244313482
2025-10-09,17742.94645390729
2025-10-10,18336.13101556664
2025-10-11,17727.628328512623
2025-10-12,16636.88155942347
2025-10-13,16216.436809304458
2025-10-14,16437.35207581836
2025-10-15,16992.41253431999
2025-10-16,17531.46258312157
2025-10-17,17677.645665637843
2025-10-18,17153.733818469707
2025-10-19,16468.6846415957
2025-10-20,16244.644976868502
2025-10-21,15699.909867618808
2025-10-22,16821.39152005544
2025-10-23,17616.617564241882
2025-10-24,17875.552472033403
2025-10-25,17383.35319008047
2025-10-26,16495.957411519837
2025-10-27,16518.790200845993
2025-10-28,17046.366278451707
2025-10-29,17235.46520798307
2025-10-30,18439.077291947608
2025-10-31,18488.057548724046
2025-11-01,18164.177967465566
2025-11-02,17321.388521526354
2025-11-03,17047.084595954217
2025-11-04,17542.986119863708
2025-11-05,18096.412796473527
2025-11-06,18966.348281404426
2025-11-07,19010.334297073536
2025-11-08,18380.251951922102
2025-11-09,17825.6103999919
2025-11-10,17067.36153260246
2025-11-11,17230.041372593623
2025-11-12,17616.61722836375
2025-11-13,18270.974746084503
2025-11-14,18226.12094777639
2025-11-15,18006.42292294538
2025-11-16,16826.688998124602
2025-11-17,16682.422904577637
2025-11-18,16651.15061721843
2025-11-19,17559.28962390837
2025-11-20,18166.178325153727
2025-11-21,18560.429601398162
2025-11-22,17960.629190951895
2025-11-23,16881.816404267705
2025-11-24,16780.756339992156
2025-11-25,16845.450455850983
2025-11-26,17735.14936750609
2025-11-27,18876.577878087617
2025-11-28,18995.00507218412
2025-11-29,18402.02519048985
2025-11-30,17707.23305932243
2025-12-01,17523.627222828007
2025-12-02,17536.173844716548
2025-12-03,18355.170182401424
2025-12-04,19234.253317892748
2025-12-05,19568.179744769484
2025-12-06,19008.35367558319
2025-12-07,17728.478141905398
2025-12-08,17698.51245733573
2025-12-09,17768.912646615656
2025-12-10,18431.531740751212
2025-12-11,19241.03476366303
2025-12-12,18667.305835529693
2025-12-13,18396.842300847555
2025-12-14,17800.530470468773
2025-12-15,16886.12091921214
2025-12-16,17548.698897086968
2025-12-17,17976.592758583076
2025-12-18,18706.9664452168
2025-12-19,18614.384013364917
2025-12-20,18421.74378952811
2025-12-21,17767.54826949526
2025-12-22,17213.51788656714
2025-12-23,17451.220229123122
2025-12-24,18210.15841953908
2025-12-25,18770.123123060624
2025-12-26,19170.5733020433
2025-12-27,18821.34712240851
2025-12-28,18291.769978201726
2025-12-29,18050.311128473415
2025-12-30,17943.41010867767
2025-12-31,18863.91354600727
